CODE3,EXPL3,STATE,
0L7,Fairfax Eye Associates,VA,
0L8,Coastal Pulmonary Medicine,NC,
0LA,Medical Park Associates,NC,
0LD,Mid Atlantic Eye Physicians,NC,
0LF,New Horizons Surgical Eye Ctrs,NC,
0LH,Gallilee Medical Center,IL,
0LK,Northpointe Family Medicine,WA,
0LO,Central Penn Medical Group,PA,
0LP,Oral Surgery Associates,AL,
0LQ,Eastern Medical Associates,NC,
0LT,Central Alabama OB/GYN Assocs,AL,
0LV,Copeland Care Clinic,AL,
0LW,East Memphis Nephrology,TN,
0LX,Pulaski Surgery Clinic,AR,
0M1,Cancer Care Centers Of S TX,TX,
0M2,Pediatric Neurology Assocs,TN,
0M3,North Texas Neurology Assocs,TX,
0MA,Gynecology Assocs Fredrcksbrg,VA,
0ME,Associated Urology Nashville,TN,
0MN,Medical Associates Northwest,AR,
0MP,Westtown Valley Med Assocs,PA,
0MS,South Philadelphia Oral/Max,PA,
0MT,Bayside Family Healthcare,RI,
0MV,Maryland Farms Pediatrics,TN,
0MY,Mountain Empire Eye Physcns,TN,
0N1,Alpine Podiatry Center,SC,
0N2,Aiken Center For Urology,SC,
0N4,Care South Carolina,SC,
0N5,Carolina Rheumatology/Neurlgy,SC,
0N7,Seattle Indian Health Board,WA,
0N8,Sound Eye & Laser PS,WA,
0N9,South Sound Neurosurgery,WA,
0NA,Peninsula Community Hlth Svs,WA,
0NC,Puyallup Dermatology Clinic,WA,
0NE,Puyallup Endocrine Clinic,WA,
0NF,RadiantCare Radiation/Onclgy,WA,
0NG,Fremont County Ped/All Clin,WY,
0NH,Mountain Valley Imaging,WY,
0NJ,Belington Medical Clinic,WV,
0NK,Cabin Creek Health Center,WV,
0NM,Exemplar Medical Inc,WV,
0NN,Access Health,WV,
0NO,Salish Womens Health,WA,
0NP,Alpha & Omega Family Practice,WV,
0NS,Ear Nose & Throat Carolina,NC,
0NU,Pediatric Heart Center,RI,
0NY,Saint Joseph Radiology Assocs,RI,
0O4,Clinica La Familia,AZ,
0O5,Family Health Providers Lts,AZ,
0O6,Family Mental Health Assocs,AZ,
0O9,Schwartz Laser Eye Center,AZ,
0OA,Retinal Vitreous Consultants,WI,
0OB,Roche-Acri Clinic,WI,
0OE,Stephen V Slana MD,WI,
0OH,Midwest Center Women's Health,WI,
0OM,Seatac Primary Care Phys,WA,
0OT,Ermed Physicians,WI,
0OW,Ostrower Neiheisel & Davis,TX,
0OZ,Strickland Certain & Jones,GA,
0P2,Senior Campus Physicians,MA,
0P3,Whittier Radiology Associates,CA,
0PA,Beverly Hills Body,CA,
0PB,Emergency Medical Group,CA,
0PC,Enki Mental Health,CA,
0PE,Pembroke Lakes Podiatry,FL,
0PF,Emergency Care Dynamics,CA,
0PH,Spring Hill Eye Center,FL,
0PJ,Naperville Internists,IL,
0PK,Miami Beach Comm Hlth Ctr,FL,
0PL,RPM Laboratories,LA,
0PM,Sulphur Surgical Clinic,LA,
0PN,Medical & Surgical Clinic,LA,
0PP,Nephrology Associates Augusta,GA,
0PT,Surgeon Care Physicians,MA,
0PW,Riverdale Family Practice,NY,
0PX,Surgical Care Associates,PA,
0Q2,Scott Spectors Eye Care Center,CT,
0Q3,South Hill Internal Medicine,VA,
0Q5,Capital Region Pathologists,NY,
0Q8,Comtrea Community Treatment Inc,MO,
0Q9,Mahmood H Yekta MD PC,CT,
0QA,Central Minnesota Anesthesia,MN,
0QC,Eye Specialists Of North,CO,
0QD,Pediatrics Steamboat Springs,CO,
0QG,Pediatric Care Corner PC,MI,
0QH,Bear Creek Anesthesiology,CA,
0QI,Falls City Family Practice,NE,
0QK,Gerhard W Cibis MD PC,MO,
0QM,Anesthesiologists/Grt Orlando,FL,
0QQ,Eye Surgicenter,FL,
0QU,Winchester Imaging,VA,
0QW,Southland Spine & Rehab,CA,
0QX,Singer & Cohn MDs,CA,
0QY,Southwestern Research Inc,CA,
0R1,Cox Frater & Chanez MDs,TX,
0R2,Center For Orthopaedic Spec,TX,
0R3,Center For Cancer/Blood Dis,TX,
0R5,Central Texas Pallitive Care,TX,
0R7,Childrens Clinic Of Katy,TX,
0R9,Burleson Family Medical Ctr,TX,
0RA,Bruce R Maddern MD,FL,
0RD,Professional Pathology,KY,
0RE,Altoona OB/GYN Associates,PA,
0RF,Family Medicine Associates,PA,
0RG,Neurology Associates Ltd,PA,
0RI,Park Central OB/GYN Assocs,TX,
0RJ,Pediatric Medicine,TX,
0RK,Salud Y Vida,TX,
0RO,Rural Medical Clinic,SD,
0RP,Albright Smith & Peck DDS,TN,
0RQ,Allergy Asthma & Sinus Center,TN,
0RR,Alliance Cardc Ths/Vas Sgns,TN,
0RS,Arthritis Associates,TN,
0RT,Athens Family Practice,TN,
0RU,Advent Health Group,VA,
0RV,Port City Medicine,NY,
0RW,Richmond Medical Anesthesia,NY,
0S1,North Central Missouri Mental H,MO,
0S3,Chess Medical Group,TX,
0S5,Ford Eye Center,TX,
0S9,Focus Psychiatric Medical Grp,TN,
0SB,Foothill Pathology,AZ,
0SE,Radiation Oncology Associates,NY,
0SG,Mercy Children's Clinic,TN,
0SI,Bearden Healthcare Associates,TN,
0SJ,Black & Benton Pediatrics,TN,
0SM,Chattanooga Vision Cnter,TN,
0SN,Medical Assocs Westchester,CA,
0SS,Saint Louis County Oral Sgy,MO,
0ST,Semo Health Network,MO,
0SU,Cookeville Eye Specialists,TN,
0SX,Southwest Medical Center,MO,
0SY,Medical Acute Care Center,MO,
0SZ,Missouri Foot & Ankle Clinics,MO,
0T3,Winthrop Gastroentrlgy Assocs,NY,
0T5,Surgical Associates Northwest,WA,
0T6,Med Cross Imaging,GA,
0T7,Central Oregon Family Medcn,OR,
0T8,Advanced Nephrology Associates,PA,
0TC,Georgetown Medical Center,TX,
0TE,Glen Lakes OB/GYN,TX,
0TF,Gulf Coast Health Center,TX,
0TG,Minneapolis Radiation Oncolgy,MN,
0TI,Panther Creek Medical Center,TX,
0TK,McNeeley Family Physicians,TN,
0TL,Phillips Medical Group,TN,
0TM,Southdale Anesthesiologists,MN,
0TN,Winthrop Nephrology Assocs,NY,
0TP,Basta Isidro MD & Associates,CA,
0TR,Redwood Regional Medical Group,CA,
0TW,Newborn Medicine Associates,NY,
0TX,Pitts Radiology,SC,
0TY,Children's Health Care Assocs,PA,
0U1,Napa Nephrology/Int Medcn,CA,
0U4,Glendale Heart Institute,CA,
0U5,EVMS Health Services,VA,
0U8,Neurosurgical Associates,AL,
0UA,Northridge Medical Group,NY,
0UD,Central Mississippi Hlth Svs,MS,
0UI,Rochester General Medical Assoc,NY,
0UJ,Cardiovascular Center,TN,
0UM,Orange County Latino Med Grp,CA,
0UN,Borelli Schaffzin Thall Mds,CA,
0UO,Oyster Point Dermatology,VA,
0UP,SME Pathologists,IL,
0UQ,Columbia Emergency Med Grp,CA,
0UR,Boise Center For Foot Surgery,ID,
0UT,Mercy Health Clinics,WI,
0UU,Oxford Radiologists,OH,
0UW,Regional Pathology Consltnts,IA,
0V1,North Brevard Med Support,FL,
0V6,MedNorth,TN,
0V7,Fort Worth Heart,TX,
0V8,Scott & White Clinic,TX,
0VC,Baptist Specialty Physicians,GA,
0VD,Mobile Medical Group,AL,
0VF,Cornerstone Health Care,NC,
0VH,Radiology Associates West Pasco,FL,
0VK,AmCare,KY,
0VL,Assocs Phys Medcn Rehab,MI,
0VM,Family Medical/Surgical Ctr,LA,
0VQ,Oklahoma West Physicians Group,OK,
0VU,Central Dupage Physician Group,IL,
0VZ,Cardio Intrvntnl Vas Assocs,TX,
0W1,North Fulton Anesthesia Assoc,GA,
0W3,Imaging Consultants Of South,FL,
0WB,Cape Cod Emergency Assocs,MA,
0WC,Novant Medical Group,NC,
0WE,Spruce Street Internal Medcn,CO,
0WJ,Arena Eye Surgeons,OH,
0WL,Community Health Centers,CA,
0WM,Rush University Physician At Li,IL,
0WO,Green Bay Radiology,WI,
0WT,Mid Atlantic Women's Care,VA,
0WU,Sutter Medical Group Solano,CA,
0X1,PhyAmerica Maumee,OH,
0X2,Ohio Imaging Kent,OH,
0X5,Professional Anesthesia Svs,NE,
0X7,Medical X-Ray Inc,OH,
0X8,Southeast Nebraska NEO Grp,NE,
0XB,Emergency Service Associates,TX,
0XI,Albany Emergency Medcn Assocs,NY,
0XJ,Buffalo Emergency Associates,NY,
0XK,Pathology Assocs Delaware Vly,NJ,
0XL,Emergency Care Of Atlanta PC,GA,
0XM,Athens-Clarke Emergency Specs,GA,
0XN,Oral/Maxillofacial Sgcl Assoc,MD,
0XO,Bay Area Emergency Physicians,FL,
0XR,Radiology Associates,OH,
0XT,Marshall Emergency Services,KY,
0XU,Hartsville Imaging Assocs,SC,
0XY,Mercy Imaging Associates,PA,
0Y2,Fresenius Medical Group,CA,
0Y4,Capitol Pediatrics,VA,
0Y5,Farmington Village Fam Prac,MI,
0Y6,Wasatch Pediatrics,UT,
0Y9,Brookwood OB/GYN,AL,
0YE,Atlantis Eye Care,CA,
0YH,Comprehensive Anesthesia Care,MO,
0YJ,Providence Family Physicians,AL,
0YK,Southwest Women's Healthcare,IL,
0YM,Diagnostic Radiology Cnsltnt,TN,
0YT,Roanoke Neurological,VA,
0YY,Family Health Services,ID,
0YZ,Meranus Goldberg Licul DDS,NY,
0Z1,Radiology Associates Columbus,GA,
0Z3,Retina Associates,IL,
0Z4,NeuroHealth,RI,
0Z7,Salem Radiologists Inc,OH,
0ZC,Rocky Mountain Assoctd Phys,UT,
0ZG,Southbay OB/GYN Medical Group,CA,
0ZH,Premier OB/GYN Associates,NJ,
0ZK,Smile Maker East,OH,
0ZL,Ocean Park Medical,NY,
0ZO,Allied Diagnostic Ltd,AK,
0ZQ,Coronado Medical Group,CA,
0ZV,Northwest Allrgy Asthma Specs,OR,
0ZX,Scioto Valley Urology Inc,OH,
0ZY,Capital Colon & Rectal,MI,
111,Sheftel & Associates Dermtlgy,AZ,
113,Pulmonary Consultants,MD,
116,Associated Ophthalmologists,IL,
119,Arizona Gastroenterology,AZ,
11A,Clarke & Company Pathology,PA,
11E,Primary Health Care,NY,
11G,Atlantic Neurosurgical Specs,NJ,
11I,Physicians For Women,PA,
11J,Providence Ear Nose/Thrt Associ,PA,
11L,Saint Joseph Neprholgy Assocs,MO,
11M,Central Ohio Nephrolgy Assocs,OH,
11O,Academic Urology,PA,
11P,Cholla Pediatrics,AZ,
11Q,Medical Vision Technology,CA,
11R,Pediatric Clinic PC,MI,
11S,Southampton Psychiatrc Assocs,PA,
11T,Scioto Family Physicians,OH,
11U,Associated Head & Neck Sgns,CA,
11V,Mountain Park Health Center,AZ,
11X,Pulmonary Medcn/Inf Dis Med,CA,
11Y,Associates Clinical Psy,PA,
124,Penmark Internal Medcn Assocs,TN,
126,Parma Pediatrics Inc,OH,
128,Multi Specialty Healthcare,MD,
129,Pediatric Faculty Practice,NY,
12B,Saint Christopher ENT Assocs,PA,
12C,Cassidy Medical Group,CA,
12D,Cardiothoracic Surgery Assocs,PA,
12G,Port Jefferson Medical Assocs,NY,
12H,South Hills Radiology,PA,
12I,Sanders Court Pediatrics Ltd,IL,
12J,Partners In Women's Health,IN,
12K,Mid Coast Medical Group,ME,
12L,San Luis Obispo Eye Associates,CA,
12O,ArthroCare,AZ,
12R,Associated Eye Physicians/Sgns,NJ,
12S,South Jersey Pain Consultants,NJ,
12W,Mountain States Medical Group,TN,
12X,Skin Care Specialists,LA,
12Z,Alpha Medical,NJ,
132,Canyon Eye Associates,OH,
137,Pediatric Care Center,MI,
13A,Central Susquehanna Sgcl Spec,PA,
13D,Pediatric Associates,AZ,
13E,North Atlanta Kidney Specs,GA,
13H,Medical Group Northshore,IL,
13I,Mid Michigan Neurology,MI,
13M,Advanced Podiatry,AZ,
13N,Pediatric Specialists Northwest,IL,
13P,Columbia Ophthalmology Cnsltnts,NY,
13V,Colon & Rectal Associates,LA,
13X,Sylvania Podiatry,OH,
13Y,Center For Eye Health,MA,
13Z,CNY Anesthisia Group,NY,
141,Suburban Medical Associates,IL,
142,Saratoga Emergency Physicians,NY,
144,San Antonio Medical Assocs,TX,
145,Professional Pediatrics,AL,
146,Midtown Occupational Hlth Svs,CO,
147,South Valley Womens Hlth Care,UT,
14B,Anesthesia Assocs Vista Hlth,IL,
14C,Pine Bluff Radiology Ltd,AR,
14G,Southern Oncology/Hematology,NJ,
14H,Paris Eye Physicians,TX,
14I,Stamford Pediatric Associates,CT,
14J,Stamford Nephrology,CT,
14K,Stamford Family Practice,CT,
14L,Private Medical Group,NY,
14O,Midwest Allergy & Asthma Clinic,NE,
14R,Midtown Medical Care Center,NY,
14S,Cardiovascular Assocs Mesa,AZ,
14V,Physicians Eye Care,MD,
14Y,Clinical Neurosurgical Assocs,TX,
154,Scheie Eye Institute Group,PA,
156,Sangamon Anesthesiologists,IL,
157,Plastic Surgery Specialists,PA,
159,Schulman Medical Associates,NY,
15A,Pulmonary Health Physician PC,NY,
15B,Parker Rosenman & Rodi MDs,CA,
15C,Ambulatory Surgical Assocs,NE,
15E,Pediatricians Of Dallas,TX,
15F,Parkersburg Pathology,WV,
15G,Parker Pediatrics,MD,
15H,Parkersburg Radiology Svs Inc,WV,
15I,Private Medical Center,FL,
15K,Alban-Wertheimer Orthopdc Grp,CA,
15M,Pulmonary Disease Center,CA,
15O,Midtown Urologic Assocs,NY,
15P,Peninsula Pulmonary Med Assocs,CA,
15S,Midlands Family Medicine,NE,
15U,Core Physicians,TN,
15V,Munster Radiology Group,IN,
15Y,Conway Emergency Physicians,AR,
15Z,Colorectal Associates,HI,
163,Mid-Ohio Emergency Services,OH,
164,Central Maryland Primary Care,MD,
166,McLean County Neurology,IL,
167,Sarasota Foot & Care Center,FL,
169,Moundbuilders Guidance,OH,
16B,Pasteur Medical Associates,TX,
16E,Chesapeake Perioperative Svs,MD,
16F,Community Medicine Assocs Nrth,TX,
16H,Allergy & Asthma Specialists,NJ,
16J,Suburban Cardiology PC,NY,
16K,East Chester Ctr Cancer Care,NY,
16L,Mesa OB/GYN Ltd,AZ,
16M,Pulmonology Associates,PA,
16N,Associated Orthopedic Sgns,CA,
16O,South Coast Eye Care Center,CA,
16Q,Colonial Gastroenterology,VA,
16S,Personal OB/GYN Care Assocs,TX,
16V,Spectrum Psychiatric Group,CT,
16W,Carolina Pediatrics,SC,
16X,Starling Medical,NY,
16Z,Pediatric Pulmonary Center,TX,
171,South Shore Hem/Onc Assocs,NY,
174,Columbia Thoracic Associates,NY,
175,Streeterville Pediatrics,IL,
179,Casper Orthopedic Associates,WY,
17A,Central Florida Retina,FL,
17C,Charles Street OB/GYN Assocs,MD,
17D,Children's Clinic Ltd,VA,
17E,Midtown Family Medicine,SC,
17F,Clinical Las Americas,TX,
17G,South Beach Psychiatric Center,NY,
17H,San Ramon Valley Primary Care,CA,
17I,Murray Hill OB/GYN,NY,
17K,Pennsylvania Oral/Maxillfcl,PA,
17L,Associates In Medicine,TX,
17M,San Diego Pschiatric Med Grp,CA,
17N,Carty Eye Associates,PA,
17Q,Corbin Radiology,KY,
17R,San Antonio Internal Med Phys,TX,
17S,South Shore Cosmetic Surgeons,NY,
17T,Avalon Clinic,WA,
17U,Pulmonary Consultants,TX,
17V,Contemporary Womens Care,NJ,
17X,Sugar Land Family Practice,TX,
17Y,South Shore Internal Medicine,NY,
182,Scottsdale Psycholoical Assoc,AZ,
183,Children & Teens Medical Center,IL,
187,Suburban Pediatric Associates,OH,
188,Pediatric Medical Grp/Women's,IN,
189,Salem Emergency Physicians,OR,
18C,Pulmonary Associates Of Mobile,AL,
18D,Providence Pediatric Practice,PA,
18E,Radiology Associates North Texs,TX,
18G,Alamo Anesthesia,TX,
18K,Cottonwood Internal Medicine,AZ,
18L,Anchorage Womens Clinic,AK,
18N,Pulmonary/Critical Care Specs,LA,
18O,Severn Anesthesia,MD,
18P,Pediatric Center LLC,MD,
18Y,Philadelphia Gastroenterlgy Gro,PA,
18Z,Pulmonary Medicine PC,NY,
194,Pediatric Pulmonary Group,CA,
195,Aveda Medical Group,CA,
196,Stratford Internal Medicine,IL,
198,Primary Care Internists,AL,
199,Clinical Pathology Associates,IA,
19B,Columbia Child Neurlgy Assocs,NY,
19D,Mandelbaum Muller/Smolow MDs,NY,
19F,Sierra Laboratory Associates,TX,
19G,Crossroads Medical Group,MD,
19I,Cocoa Family Medicine,PA,
19J,Saint Clair Vascular Assocs,MI,
19K,Partners In OB/GYN,NY,
19L,Shady Grove Orthopedic Associat,MD,
19M,Central Texas Pathology Lab,TX,
19N,Mountain Medical Physician Spec,UT,
19O,139 Medical Group,NY,
19P,Capitol Hill Family Hlth Ctr,WA,
19R,Midwest Anesthesia Associates,KS,
19S,South Shore Family Med Assocs,NY,
19U,San Antonio Pediatric Sgy,TX,
19V,Pediatric Clinic,TN,
19Y,California Cardiac Institute,CA,
1A3,Capital Area Pathologists,MI,
1A5,Associates Foot/Ankle Center,GA,
1A7,Allen Family Clinic,TX,
1A8,Associated Colon/Rectal Sgns,NJ,
1A9,Associates In Womens Healthcare,NJ,
1AA,Arthritis Group,TN,
1AC,Affinity Health Care,IL,
1AD,Austin Neurological Clinic,TX,
