Code5,Hospital Code,STATE
027,Baystate Children's Hospital,MA
028,JCL Sonoran Health & Emrgncy Ct,AZ
029,Penn State Children's Hospital,PA
02A,Methodist Womens Hospital,NE
02C,Christus Santa Rosa Hosp Alamo,TX
02D,Specialty Hospital Centrl Jrsy,NJ
02E,Healthsouth Rehab Hosp No VA,VA
02F,Oasis Hospital,AZ
02G,Select Specialty Hosp Pttsbrgh,PA
02H,Hospital For Extended Recovery,VA
02I,Healthsouth Rehab Hosp Tntn Fll,NJ
02J,UVA Transitional Care Hospital,VA
02L,The Rehabilitation Hosp SW VA,VA
02M,Penn State Hershey Rehab Hsptl,PA
02N,Roper St Francis Mt Plsnt Hosp,SC
02O,Good Shepherd Penn Partners,PA
02P,Vibra Hospital Richmond,VA
02Q,Select Specialty Hospital Erie,PA
02S,Kindred Hospital Peoria,IL
02T,Regency Hospital Of Hattiesburg,MS
02U,Promise Hospital The Villages,FL
02V,Advanced Specialty Hospital Tol,OH
02W,Select Spclty Hsptl Plm Bch,FL
02X,Meridian Hlth Svs Gertrc Psych,IN
02Y,Commonwealth Reg Speclty Hosp,KY
02Z,Select Spclty Hsptl Quad Cities,IA
030,OptiMed Hospitalists,NC
031,The Heart Hospital At Baylor,TX
032,College Station Hospital,TX
033,Madison Hospital,AL
034,Queens Medical Center West,HI
035,Baptist Health Extended Cr Hosp,AR
037,Kindred Hospital LV At St Rose,NV
038,Methodist Olive Branch Hospital,MS
039,Kosair Children's Medical Ctr,KY
03A,Acuity Specialty Hospital,OH
03B,Rivercrest Specialty Hospital,IN
03C,Landmark Hospital,MO
03D,Midwest Surgical Hospital,NE
03E,Village Hospital,SC
03F,Select Spclty Hsptl Gainesville,FL
03G,Regency Hospital Columbus,OH
03H,Select Spclty Hsp Milwaukee,WI
03I,Minimally Invsve Srgry Hsptl,KS
03J,Florida Hospital At Connerton,FL
03K,Select Spclty Hsptl Zanesville,OH
03L,Healthsouth Spring Hill,FL
03M,Vibra Hospital Of NW Indiana,IN
03N,Vibra Hospital Springfield,IL
03O,Mount Carmel New Albny Srg Hosp,OH
03P,Behavioral Hlthcr Ctr Clrksvll,TN
03Q,Select Speclty Hsptl Jackson,MS
03R,Kindred Hospital Dayton,OH
03S,Complex Cr Hsptl Ridgelake,FL
03T,Regency Hospital South Atlanta,GA
03U,John C Stennis Mmrl Hosp,MS
03V,Advanced Care Hospital Of MT,MT
03W,Medical Center Elizabeth Place,OH
03X,Summit Surgical,KS
03Y,Sanctuary At The Woodlands,AL
03Z,Iron County Medical Center,MO
040,Louis & Peaches Owen Heart Hosp,TX
041,Kiowa County Memorial Hospital,KS
042,Heart Hospital At Saint Francis,OK
043,Tri Town Regional Health Hosp,NY
044,Integris Heart Hospital,OK
045,St Joseph's Westgate Medical Ct,AZ
047,UF Health Shands Cancer Hosp,FL
048,San Juan VA Medical Center,PR
049,Nemours Childrens Hospital,FL
04A,Physicians Medical Center,IN
04B,Select Spclty Hosp Lexington,KY
04C,Dayton Rehabilitation Institute,OH
04D,Mclaren Northern Michigan Cheby,MI
04E,Greenwood Rgnl Rehab Hosp,SC
04F,Select Specialty Hsptl Tllhssee,FL
04G,Kate Dishman Rehab Hosp,TX
04H,AMG Specialty Hospital Of Houma,LA
04I,Ascension Gonzales Rhb Hsptl,LA
04J,Advanced Care Hospital Whte Cty,AR
04K,Select Rehabilitation Hosp Dent,TX
04L,Reliant Rehabilitation Hospital,TX
04M,Select Specialty Hospital Omaha,NE
04N,Oceans Behavioral Hospital,LA
04O,Oceans Behvrl Hosp Alexandria,LA
04P,Vibra Specialty Hospital Desoto,TX
04Q,Healthbridge Childrens Hospital,TX
04R,Lindsay Municipal Hospital,OK
04S,Forest Park Medical Center,TX
04T,Post Acute Specialty Hosp Hmnd,LA
04U,MMO Rehab & Wellness Ctr,LA
04V,Bethesda Rehabilitation Hosp,LA
04W,Fairway Medical Srgcl Hsptl,LA
04X,Green Clinic Surgical Hospital,LA
04Y,Continuum Rehabilitation Hosp,TX
04Z,Reliant Midcities Rehab Hosp,TX
050,Walton Correctional Institute,FL
051,Baptist Children's Hospital,FL
052,Kaiser Permanente Irvine Med,CA
053,Mayo Children's Center,MN
054,Florida Hospital Pepin Hrt Inst,FL
055,Jackson Rehabilitation Hospital,FL
056,Holtz Children's Hospital,FL
057,The Rehabilitation Hospital,FL
058,Saint Marys Janesville Hospital,WI
059,Garfield Park Hospital,IL
05A,Atrium Medical Center,TX
05B,Mesquite Rehabilitation Inst,TX
05C,Christus Dubuis Hospital Bryan,TX
05D,United Medical Rehab Hosp,LA
05E,Oceans Behavioral Hospital,LA
05F,Mesquite Specialty Hospital,TX
05G,Baylor Orthopedic & Spine Hosp,TX
05H,Orthopedic Hospital,OK
05I,Scott & White Continuing Care,TX
05J,Dubuis Hospital Of Paris,TX
05K,Kindred Hospital Dallas Central,TX
05L,Nebraska Spine Hospital,NE
05M,Southeast Regional Medical Ctr,LA
05N,Doctors Hospital Deer Creek,LA
05O,Red River Behavioral Hospital,LA
05P,Physicians Specialty Hospital,AR
05Q,Integrity Transitional Hospital,TX
05R,Oklahoma Ctr Ortho Multi-Spec,OK
05S,Cypress Pointe Surgical Hsptl,LA
05T,Shore Rehabilitation Institute,NJ
05U,Specialty Rehab Hsptl Coushatta,LA
05V,Harris Methodist Southlake Ctr,TX
05W,Regency Hospital Of Covington,LA
05X,Methodist Hospital For Surgery,TX
05Y,Doctors Diagnostic Hospital,TX
05Z,Kindred Hospital The Heights,TX
060,Mayhill Hospital,TX
061,Chris Evert Children's Hospital,FL
062,Rolling Hills Hospital,TN
063,Cedar Hills Hospital,OR
064,Austin Oaks Hospital,TX
065,Tradition Medical Center,FL
066,Peace Island Medical Center,WA
067,Methodist Richardson Med Ctr,TX
068,Adirondack Medical Center,NY
069,Northeast Georgia Med Ctr,GA
06A,Dubuis Hospital Texarkana South,TX
06B,Dubuis Hospital Corpus Christi,TX
06C,Southwest Idaho Advncd Cr Hosp,ID
06D,Northern Colorado Long Term Act,CO
06E,Advanced Care Hsptl Sthrn NM,NM
06F,Weslaco Rehabilitation Hospital,TX
06G,Blue Mountain Hospital,UT
06H,Kindred Hospital Rancho,CA
06I,The Physicians Centre Hospital,TX
06J,Monrovia Memorial Hospital,CA
06K,Reliant Rehab Hosp Ablne,TX
06L,Select Spclty Hsptl San Antonio,TX
06M,Select Rehab Hosp San Antonio,TX
06N,Mountain Valley Rgnl Rehab Hspt,AZ
06O,Restora Hospital Of Mesa,AZ
06P,Kindred Hospital Riverside,CA
06Q,Victory Medical Ctr Southcross,TX
06R,Healthsouth Desert Cyn Rehab,NV
06S,Northern Colorado Rehab Hosp,CO
06T,Park City Medical Center,UT
06U,First Surgical Hospital,TX
06V,Elkhorn Valley Rehab Hosp,WY
06X,Restora Hospital Of Sun City,AZ
06Y,Niobrara Health & Life Center,WY
06Z,Huntsman Cancer Institute,UT
070,Promise Hospital Baton Rouge,LA
071,Winnie Palmer Hosp Women&Babies,FL
072,Childrens Hospital Of Georgia,GA
073,Palmetto Health Baptist Prkrdg,SC
074,Palmetto Health Heart Hospital,SC
075,Choctaw General Hospital,AL
076,New Orleans East Hospital,LA
077,Palmetto Health Childrens Hosp,SC
079,Henry J Carter Specialty Hsp,NY
07A,Promise Hospital Of Phoenix,AZ
07B,Reliant Rehab Hosp Ctrl TX,TX
07C,Warm Springs Specialty Hospital,TX
07D,Basin Healthcare Center,TX
07E,Loma Linda Univ Med Ctr Murrie,CA
07F,Arizona Orthopedic Srgcl Hosp,AZ
07G,Allegiance Bhvrl Hlth Ctr Plain,TX
07H,Vibra Specialty Hsptl Prtlnd,OR
07I,Select Specialty Hsptl Durham,NC
07J,Behavioral Hlthcr Ctr Columbia,TN
07K,Regency Hospital Of Jackson,MS
07L,St Catherine Memorial Hospital,LA
07M,Prairie Ridge Hosp & Hlth Svs,MN
07N,Rothman Orthopedic Speclty Hosp,PA
07P,Lifecare Hospitals Mechanicsbrg,PA
07Q,OSS Orthopedic Hospital,PA
07R,Unity Medical & Srgcl Hsptl,IN
07S,Intermedical Hospital Of SC,SC
07T,Surgical Institute Of Reading,PA
07U,Landmark Hospital,MO
07V,Mid-Jefferson Extended Cr Hosp,TX
07W,St Catherines W Rehab Hospital,FL
07X,Warm Springs Specialty Hospital,TX
07Z,Select Specialty Hospital,KY
080,McLeod Seacoast,SC
081,Riverside Hospital Of Louisiana,LA
087,Dixon Correctional Center,IL
088,CAMC General,WV
089,Llano Specialty Hospital,TX
08A,Select Speclty Hosp Wstrn MO,MO
08B,Kailo Long Term Accute,LA
08C,Baycare Alliant Hospital,FL
08D,Memorial Hermann Rehab Hosp,TX
08E,AMG Specialty Hospital,IN
08F,Ohio Valley Surgical Hospital,OH
08G,Rehabilitation Hospital Of Jenn,LA
08H,Barrett Hospital And Healthcare,MT
08I,Healthsouth Rehabhsptl Ptrsbrg,VA
08J,Select Specialty Hospital Panma,FL
08K,Vibra Hospital Of Fort Wayne,IN
08L,Select Speclty Hospital Danvill,PA
08M,Amery Regional Medical Center,WI
08N,Advanced Surgical Hospital,PA
08O,Asheville Specialty Hospital,NC
08P,St Elias Specialty Hospital,AK
08Q,Health South Rehabilitation,SC
08R,Oak Tree Hospital,KY
08S,Great Falls Clinic Med Ctr,MT
08T,Physicians Care Surgical Hosp,PA
08U,St John Broken Arrow,OK
08V,Kindred Hospital Havertown,PA
08W,Florida Hospital Wesley Chapel,FL
08Y,Texas Health Center Dgnstcs/Sgy,TX
08Z,Vibra Hosp Mahng Vly Trmbl Cmps,OH
091,Warm Springs Rehab Hosp Kyle,TX
092,Walnut Hill Medical Center,TX
093,Shriners Hospital For Children,TX
094,Lancaster Rehabilitation Hosp,PA
095,Oasis Behavioral Health,AZ
096,Park Royal Hospital,FL
097,Aurora Tempe Hospital,AZ
098,Cornerstone Hospital Of Austin,TX
099,Cornerstone Hospital Of Ok,OK
09A,Lone Peak Hospital,UT
09B,Select Specialty Hospital,OH
09C,Park Place Surgical Hospital,LA
09D,Castle Rock Adventist Hospital,CO
09E,Connecticut DVA,CT
09F,Heritage Park Surgical Hospital,TX
09G,Norman Specialty Hospital,OK
09H,Baylor Surg Hosp Las Colinas,TX
09I,Carson Valley Medical Center,NV
09J,Specialty Hospital Of Winnfield,LA
09K,New Braunfels Reg Rehab Hosp,TX
09L,North Central Surgical Center,TX
09M,Bellin Health Oconto Hospital,WI
09N,Greenbaum Surgical Spclty Hsptl,AZ
09O,Baylor Institute For Rehab,TX
09P,Somerville Hospital,MA
09Q,St Mary & Elizabeth Hospital,KY
09R,Hampton Roads Specialty Hosp,VA
09S,Riverside Doctors Hospital,VA
09T,Summit Pacific Medical Center,WA
09U,UC San Diego Sulpizio Cardvsclr,CA
09V,UC San Diego Moores Cancer Ctr,CA
09W,Victory Medical Center Sn Antno,TX
09X,Victory Medical Center Houston,TX
09Y,Victory Medical Ctr Crg Rnch,TX
09Z,Victory Medical Center Plano,TX
0A0,Victory Medical Center Beaumont,TX
0A1,Victory Surgical Center E Hustn,TX
0A2,Victory Medical Ctr Mid-Cities,TX
0A4,Community Rehabilitation Hospit,IN
0A8,Saint Vincent Fishers Hospital,IN
0AD,Alexian Rehabilitation Hospital,IL
0AE,Saint Vincent's Med Ctr Cly Cty,FL
0AF,K Hovnanian Children's Hosp,NJ
0AG,Promedica Wldwd Ortho Spine Hos,OH
0AH,Swedish Medical Center Issaquah,WA
0AI,Advocate Children's Hospital,IL
0AJ,Advocate Children's Hosp-Prk Rg,IL
0AK,Sentara Lorton Marketplace,VA
0AL,Sentara Lake Ridge,VA
0AM,The Unterberg Children's Hosp,NJ
0AN,Children's Hospital Of New Jrsy,NJ
0AO,Geisinger Med Ctr Janet Ws Chld,PA
0AP,The Childrens Hosp St Francis,OK
0AQ,UNM Sandoval Regional Med Ctr,NM
0AS,Emory Orthopaedics & Spine Hsp,FL
0AT,Kindred Hospital Seattle First,WA
0AU,UCSF Benoiff Children's Hosp,CA
0AV,Aspire Hospital,TX
0AW,UT College Of Medicine,TN
0AX,Yuma Rehabilitation Hospital,AZ
0AY,Healthsouth Rehabilitation Hosp,FL
0AZ,Healthsouth East Valley Rhblttn,AZ
0B0,Healthsouth Rehabilitation Hosp,FL
0B1,Regional Rehabilitation Hosp,AL
0B2,Healthsouth Rehabilitation Hosp,PR
0B3,Healthsouth Rehabilitation Hosp,OH
0B4,Healthsouth Rehabilitation Hosp,TX
0B5,Healthsouth Sugar Land Rehab,TX
0B6,Healthsouth Rehabilitation Hosp,CO
0B7,Healthsouth Cane Creek Rehab,TN
0B8,Healthsouth Rehabilitation Hosp,PR
0B9,Healthsouth Rehabilitation Hosp,VA
0BA,Mercy Heart & Vascular Hospital,MO
0BC,Mercy Orthopedic Hosp Springfld,MO
0BD,Mercy Children's Hospital St Ls,MO
0BE,Forest Park Medical Center,TX
0BF,Mercy Children's Hosp Springfld,MO
0BG,Mercy Rehabilitation Hosp St Ls,MO
0BH,Continuing Care Hospital,KY
0BI,Continuing Care Hospital,KY
0BJ,The Women's Hospital St Josph E,KY
0BK,Walt Disney Pav Florida Hsp,FL
0BL,Goryeb Children's Hospital,NJ
0BM,Cottage Childrens Santa Barbara,CA
0BN,Lafayette Surgical Spclty Hosp,LA
0BO,Integris Health Edmond Inc,OK
0BP,Mattel Childrens Hospital UCLA,CA
0BQ,Poinciana Medical Center,FL
0BR,Temecula Valley Hospital,CA
1AA,633D Medical Group,VA
3AD,366Th Medical Group,ID
3AF,673 D Medical Group,AK
5AC,Wilford Hall Ambltry Surgcl Ctr,TX
8AB,Wright-Patterson Medical Center,OH
9AA,96Th Medical Group,FL
9AD,Mike O' Callaghan Fed Med Ctr,NV
AA1,Anson General Hospital,TX
AA2,Memorial Hospital,NE
AA3,John D Archbold Mem Hosp,GA
AA4,Athens Regional Medical Center,GA
AA5,Akron Children's Hospital,OH
AA6,Adair County Memorial Hospital,IA
AA7,Atlanticare Regional Med Ctr,NJ
AA8,Antelope Memorial Hospital,NE
AA9,Alegent Creighton Hlth Mcy Hosp,IA
AAA,Arkansas Valley Reg Med Ctr,CO
AAB,CHI Health Schuyler Mem Hosp,NE
AAC,Armstrong Center For Medcn/Hlth,PA
AAE,Abbott Northwestern Hospital,MN
AAF,Mercy Hospital,MN
AAG,Buffalo Hospital,MN
AAH,Unity Hospital,MN
AAI,Allegheny Valley Hospital,PA
AAJ,Cambridge Medical Center,MN
AAK,Arroyo Grande Community Hosp,CA
AAL,Arnot Ogden Medical Center,NY
AAM,Aultman Hospital,OH
AAO,Alice Hyde Medical Center,NY
AAP,Avera Marshall Reg Med Ctr,MN
AAQ,Anne Arundel Medical Center,MD
AAR,Adventist Medical Center,OR
AAS,Sentara Albemarle Medical Ctr,NC
AAT,Hazard ARH Regional Medical Ctr,KY
AAU,Auburn Community Hospital,NY
AAV,Lovelace Medical Center,NM
AAW,Aurora Medical Ctr Washngtn Cty,WI
AAX,Atchison Hospital,KS
AAY,Appleton Area Hlth Svs,MN
AAZ,Mayo Clinic Hlth Systm Austin,MN
AB1,Altru Hospital,ND
AB2,Atmore Community Hospital,AL
AB3,Avera St Benedict Health Center,SD
AB4,Albany Area Hospital & Med Ctr,MN
AB5,Alaska Regional Hospital,AK
AB8,Atlantic General Hospital,MD
AB9,Audrain Medical Center,MO
ABA,Avista Adventist Hospital,CO
ABB,Albany Medical Center,NY
ABC,St Mary's Memorial Campus,NY
ABD,Anthony Medical Center,KS
ABE,Inova Alexandria Hospital,VA
ABF,Atlanta Medical Center,GA
ABG,Augusta Health,VA
ABH,Arrowhead Regional Medical Ctr,CA
ABI,Allegan General Hospital,MI
ABJ,Alta View Hospital,UT
ABK,Community Hospital Of Anaconda,MT
ABL,Ashtabula County Medical Center,OH
ABM,Antelope Valley Hospital,CA
ABN,Abbeville General Hospital,LA
ABO,Asante Ashland Community Hosp,OR
ABP,Saint Agnes Hospital,WI
ABQ,Alegent Creighton Hlth Comm Mem,IA
ABR,Einstein Medical Center Phldlph,PA
ABS,Alice Peck Day Memorial Hosp,NH
ABU,Annie Jeffrey Mem Cty Hlth Ctr,NE
ABV,Aiken Regional Medical Centers,SC
ABW,Anderson County Hospital,KS
ABX,Abrom Kaplan Memorial Hospital,LA
ABY,Alexian Brothers Medical Center,IL
ABZ,Multicare Auburn Medical Center,WA
AC1,Avera Mckennan Hospital,SD
AC2,Allen Parish Hospital,LA
ACA,Odessa Regional Medical Center,TX
ACB,Alliance Community Hospital,OH
ACC,Alamance Regional Medical Ctr,NC
ACD,Arkansas Children's Hospital,AR
ACE,Anna Jaques Hospital,MA
ACI,Acadia Hospital,ME
ACJ,Athens Limestone Hospital,AL
ACK,Arkansas Heart Hospital,AR
ACL,Arkansas State Hospital,AR
ACM,Arnold Palmer Hospital For Chld,FL
ACN,Aventura Hospital Medical Ctr,FL
ACO,Atlantic Shores Hospital,FL
ACP,Allen Memorial Hospital,IA
ACR,Avera Saint Luke's Hospital,SD
ACS,Abilene Regional Medical Center,TX
ACT,Angel Medical Center,NC
ACU,Avera Holy Family Hospital,IA
ACV,Avera Sacred Heart Hospital,SD
ACW,Advocate Christ Medical Center,IL
ACX,Alpena Regional Medical Center,MI
ACY,Advocate Good Shepherd Hospital,IL
ACZ,CHI St Vincent Hosp Hot Spgs,AR
ADB,Audubon County Memorial Hosp,IA
ADC,Austen Riggs Center,MA
ADD,Adcare Hospital,MA
ADE,Amesbury Health Center,MA
ADF,Addison Gilbert Hospital,MA
ADG,Arbour Hospital,MA
ADH,Arbour-HRI Hospital,MA
ADI,Adirondack Medical Center,NY
ADJ,Arbour Fuller Hospital,MA
ADK,Androscoggin Valley Hospital,NH
ADL,Aroostook Mental Health Center,ME
ADM,The Aroostook Medical Center,ME
ADN,Ancora Psychiatric Hospital,NJ
ADO,Atlanticare Regional Med Ctr,NJ
ADP,Allen Hospital,NY
ADQ,Arms Acres,NY
ADS,Adirondack Correctional Facilty,NY
ADT,Anmed Health,SC
ADW,Attica Correctional Facility,NY
ADX,Albion Correctional Facility,NY
AED,Allied Services Rehabilitation,PA
AEE,Adventist Rehab Hos Of Maryland,MD
AEF,Kempsville Center Behavrl Hlth,VA
AEG,Lewis Gale Hospital Alleghany,VA
AEH,Annie Penn Hospital,NC
AEI,RJ Blackley Alchohol/Drug Ctr,NC
AEJ,Anson Community Hospital,NC
AEK,Ashe Memorial Hospital,NC
AEL,Alleghany Memorial Hospital,NC
AEM,Abbeville Area Medical Center,SC
AEO,Aurora Pavilion,SC
AEP,Allendale County Hospital,SC
AER,Atlanta VA Medical Center,GA
AES,Atlanta Center Medical Research,GA
AET,Anchorage Hospital,GA
AEU,South Florida State Hospital,FL
AEW,Alternatives In Treatment,FL
AEX,Andalusia Regional Hospital,AL
AEY,Alliance Health Care System,MS
AEZ,Alliance Health Center,MS
AFA,Anderson Regional Medical Ctr,MS
AFB,UK Albert B Chandler Med Ctr,KY
AFC,OSU James Cancer Hospital,OH
AFE,Mercy Allen Hospital,OH
AFF,Akron General Edwin Shaw Rehab,OH
AFH,Adams County Regional Med Ctr,OH
AFI,Appalachian Behavioral Hlthcare,OH
AFJ,Allen Oakwood Correctional Ins,OH
AFK,Saint Vincent Anderson Center,IN
AFL,Adams Memorial Hospital,IN
AFM,Aleda E Lutz VA Medical Center,MI
AFN,Alegent Health Mercy Hospital,IA
AFP,Aurora Lakeland Medical Center,WI
AFQ,Aurora Medical Center Kenosha,WI
AFR,Aurora Sinai Medical Center,WI
AFS,Aurora Psychiatric Hospital,WI
AFT,Wheaton Francscn Hlthcr-All Sts,WI
AFU,Aurora Medical Center,WI
AFW,Appleton Medical Center,WI
AFX,Anoka Metro Regional Treatment,MN
AFY,Anthony Louis Center,MN
AFZ,Mayo Clinic Health Sys-Albrt Le,MN
AGB,Avera Queen Of Peace Hospital,SD
AGC,Avera Gregory Hospital,SD
AGD,Altru Rehabilitation Center,ND
AGE,Anne Carlsen Center,ND
AGF,Ashley Medical Center,ND
AGH,Samaritan Albany General Hosp,OR
AGI,Adventist Glenoaks Hospital,IL
AGJ,Alexian Brothers Behaviorl Hlth,IL
AGK,Advocate South Suburban Hosp,IL
AGL,Adventist Hinsdale Hospital,IL
AGM,Advocate Trinity Hospital,IL
AGN,Alton Mental Health Center,IL
AGO,Alton Memorial Hospital,IL
AGP,Anderson Hospital,IL
AGQ,Abraham Lincoln Memorial Hosp,IL
AGR,Andrew Mcfarland Mentl Hlth Ctr,IL
AGS,Allen County Regional Hospital,KS
AGU,Ashland Health Center,KS
AGV,Alegent Creightn Hlth Immnl Med,NE
AGW,Louisiana Continuing Care,LA
AGX,Assumption Community Hospital,LA
AGY,Allegheny General Hospital,PA
AGZ,Acadia-St Landry Hospital,LA
AHB,Avoyelles Hospital,LA
AHD,Ashley County Medical Center,AR
AHE,Advance Care Hospital,AR
AHF,Arkadelphia Human Developmt Ctr,AR
AHH,Arkansas Department Of Corrctns,AR
AHI,Arkansas Methodist Medical Ctr,AR
AHJ,The Physicians Hospital Anadrko,OK
AHK,Arbuckle Memorial Hospital,OK
AHL,Atoka County Medical Center,OK
AHM,Christus Saint Michael Atlanta,TX
AHN,Texas Health Arlington Mem Hosp,TX
AHO,Angleton Danbury Medical Center,TX
AHP,Audie L Murphy Memorial VA Hosp,TX
AHQ,Austin State Supported Lvng Ctr,TX
AHR,Austin State Hospital,TX
AHT,American Fork Hospital,UT
AHU,Ashley Regional Medical Center,UT
AHV,Moab Regional Hospital,UT
AHW,Arizona State Hospital,AZ
AHX,The Surgical Hospital Of Phoenx,AZ
AHY,Arizona Heart Hospital,AZ
AHZ,Alhambra Treatment Center,AZ
AIA,Arizona State Prison Complex,AZ
AIB,Arrowhead Hospital,AZ
AIC,Acoma-Canoncito-Laguna Hospital,NM
AIE,New Mexico VA Healthcare System,NM
AIF,Alta Vista Regional Hospital,NM
AIG,Artesia General Hospital,NM
AIH,Aurora Las Encinas Hospital,CA
AII,Aurora Charter Oak Hospital,CA
AIJ,American Recovery Center,CA
AIK,Alhambra Hospital Medical Ctr,CA
AIL,Alvarado Prkwy Inst Behvrl Hlth,CA
AIM,Alvarado Hospital Medical Ctr,CA
AIN,Aurora Behavrl Healthcr Sn Dgo,CA
AIO,Anaheim Regional Medical Center,CA
AIQ,Department Of Stt Hosp-Atscdero,CA
AIR,Alameda Hospital,CA
AIS,Alta Bates Summit Medical Ctr,CA
AIT,Alta Bates Summit Medical Ctr,CA
AIV,Azure Acres Recovery Center,CA
AIW,Allenmore Hospital,WA
AIX,Alaska Psych Inst AK Recvry Ctr,AK
AIY,Arise Austin Medical Center,TX
AIZ,Advance Care Hospital,AR
AJB,Aurora Baycare Medical Center,WI
AJC,Aurora Medical Center -Oshkosh,WI
AJD,Southern Ohio Medical Center,OH
AJF,Southwest Regional Rehab Ctr,MI
AJG,Great Lakes Specialty Hospital,MI
AJI,Spectrum Health Reed City Hosp,MI
AJJ,Order Of St Frncs St Frncs Hosp,MI
AJK,Sartori Memorial Hospital,IA
AJL,Saint Luke's Regional Med Ctr,IA
AJM,Shenandoah Medical Center,IA
AJN,Aurora Sheboygan Mem Med Ctr,WI
AJO,Froedtrt/Med Coll-St Jsphs Hosp,WI
AJP,Columbia Saint Mary's Hosp Ozke,WI
AJQ,Aurora Saint Luke's South Shore,WI
AJR,Saint Catherine's Medical Ctr,WI
AJS,Southern Wisconsin Ctr Dvlpmntl,WI
AJT,Sacred Heart Rehab Institute,WI
AJV,Columbia St Mary's Hospital,WI
AJW,Select Specialty Hosp-W Alls,WI
AJX,Stoughton Hospital,WI
AJY,Saint Clare Hospital & Hlth Svs,WI
AJZ,St Vincent Hospital,WI
AKA,Ministry St Joseph's Hospital,WI
AKB,Ministry Saint Michael's Hosp,WI
AKC,Sacred Heart Saint Mary's Hosp,WI
AKD,St Joseph's Health Services,WI
AKE,Sacred Heart Hospital,WI
AKF,St Joseph's Hospital,WI
AKG,Spooner Health System,WI
AKH,Essentia Hlth St Mrys Hosp Supr,WI
AKI,Sister Kenny Rehabilitation,MN
AKJ,Shriners Hospital For Children,MN
AKK,Essentia Health St Mrys Med Ctr,MN
AKL,Saint Mary's Hospital,MN
AKN,Akron General Medical Center,OH
AKO,Saint Elizabeth's Medical Ctr,MN
AKP,Rivers Edge Hospital & Clinic,MN
AKR,Summa Akron City Hospital,OH
AKS,Saint Peter Regional Trtmnt Ctr,MN
AKT,Sleepy Eye Medical Center,MN
AKU,Mayo Clinic Health Sys-Sprngfld,MN
AKV,Swift County Benson Hospital,MN
AKW,Sanford Canby Medical Center,MN
AKX,Saint Gabriel's Hospital,MN
AKY,Centracare Health-Sauk Centre,MN
AKZ,Essentia Hlth St Josphs Med Ctr,MN
ALA,Alaska Native Medical Center,AK
ALB,Albany Med Cntr South Clnc Cmps,NY
ALC,All Children's Hospital,FL
ALD,CHI Saint Joseph's Health,MN
ALE,Essentia Hlth St Mrys-Detrt Lks,MN
ALF,St Francis Healthcare Campus,MN
ALG,Sanford Vermillion Medical Ctr,SD
ALH,South Dakota Human Services Ctr,SD
ALI,Select Specialty Hosp S Dakta,SD
ALJ,Avera Saint Mary's Hospital,SD
ALK,Sturgis Regional Hospital,SD
ALL,United Hospital,MN
ALM,Vibra Hospital Fargo,ND
ALN,Saint Andrew's Health Center,ND
