Code4,Health System Code,STATE
0AJ,Christus St Michael Health Sys,TX
CIE,Ciena Healthcare Management,MI
CCI,Citizens Memorial Healthcare,MO
CA5,Citrus Valley Health Partners,CA
CAA,Cleveland Clinic Health System,OH
0A0,Cleveland County Healthcare Sys,NC
CLT,Clinton Area Care Center,MI
CEP,College Health Enterprises,CA
CLC,Colorado Health Care Assn,CO
CLO,Colorado Hospital Association,CO
049,Columbia St Marys,WI
CLY,Columbine Health Systems,CO
CUM,Columbus Center For Human Svs,OH
CRH,Columbus Regional Healthcare,GA
COD,Commander Health Care,SC
WAM,Commonwealth Health,PA
CHO,Commonwealth Health Corporation,KY
COC,Communicare Health Services,OH
CAU,Community Action For Human Svs,NY
CCA,Community Care Centers Inc,MO
CEC,Community Elder Care Services,MS
09M,Community Health Center,OR
CBB,Community Health Network,WI
CMW,Community Health Network,IN
CA2,Community Health System Inc,TN
C02,Community Hospital Corp,TX
CMT,Community Hospitals Wellness,OH
CPP,Community Living Opportunities,KS
CMN,Community Living Options,IL
05L,Community Medical Centers,CA
CA3,Community Memorial Healthcare,KS
ABI,Community Mercy Health Partners,OH
CRF,Community Research Foundation,CA
CRU,Community Resource Center,NY
CQP,Compass Health Inc,CA
CMP,Complete Healthcare Resources,PA
CPV,Comprehensive Systems Inc,IA
CNC,Concentra Inc,TX
CND,Concord Healthcare Inc,OH
CPT,Concord Hospital Family Health,NH
MAH,Cone Health,NC
CON,Conemaugh Health System,PA
CNA,Connecticut Hospital Assn Inc,CT
LLK,Consecra Housing Network,IL
CSL,Consolidated Catholic Hlth Care,IL
SCQ,Consulate Health Care Services,FL
TAN,Consulate Management,FL
CUA,Consult America,AL
CUU,Continuum Health Management LLC,CO
CA6,Contra Costa Health Services,CA
AAC,Cook Children's Health Care Sys,TX
CCB,Cook County Health & Hospitals,IL
COE,Cooper Administrative Services,AR
COG,Cooper University Health Care,NJ
087,Cooperative Services Of Florida,FL
CPY,Copley Health Systems,VT
COR,Core Care Systems Inc,PA
CRM,Corizon Health,TN
CST,Cornerstone Health Svs Grp Inc,NC
CRX,Cornerstone Healthcare,AR
CBJ,Cornerstone Healthcare Group,TX
CA7,Cottage Health System,CA
CVH,Country Villa Health Services,CA
COU,Courville Company,NH
CVC,Covenant Care Inc,CA
BJB,Covenant Dove,TN
CAQ,Covenant Health,TX
CBM,Covenant Health,TN
CBK,Covenant Health Systems,MA
CBL,Covenant Healthcare,MI
CVM,Covenant Ministries Benevolence,IL
CVN,Covenant Retirement Communities,IL
HMR,Covenantdove,SC
CXH,Coxhealth,MO
CRC,CRC Health Corporation,CA
GAR,Creative Care,AZ
HEW,Crescent Healthcare,WA
06W,Crest Manor Living/Rehab Ctr,NY
CRW,Crestwood Behavioral Health,CA
CAW,Crittenden Health Systems,KY
CSP,Crosspoint Human Services,IL
ABJ,Crouse Hospital,NY
CWN,Crowne Management,AL
CRZ,Crozer-Keystone Health System,PA
CRY,Crystal Inc,IA
06P,Cumberland Mountain Community,VA
CUG,Cummings Healthcare,MA
DAL,Dallas-Fort Worth Hosp Council,TX
DAN,Danville Services Corporation,UT
DAK,Dartmouth-Hitchcock,NH
DAC,Daughters Of Charity Hlth Sys,CA
DAD,Davis Health System,WV
DVI,Davita Inc,CO
067,Daybreak Venture,TX
DCA,DC Hospital Association,DC
DAI,DCH Healthcare System,AL
DMS,DDMS LLC,TN
DAH,Deaconess Health System,IN
06C,Deaconess Long Term Care,OH
DHA,Delaware Healthcare Association,DE
DVH,Delaware Valley Healthcare,PA
DLM,Delmar Gardens Enterprises,MO
ACO,Denver Health,CO
DEP,Department Of Public Health,CT
DVA,Department Of Veterans Affairs,DC
DHG,Deseret Health Group,UT
DTH,Detar Healthcare System,TX
DAE,Detroit Medical Center,MI
DEV,Devereux Foundation,PA
DIK,Diakon Lutheran Social Ministry,PA
DIA,Diamondback Management Svs,TX
WAQ,Dignity Health,CA
0AN,Dignity Health Purchasing Ntwk,AZ
DAB,Dimensions Healthcare System,MD
DCN,Diocesan Health Facilities,MA
DIO,Diocese Of Buffalo,NY
DIC,Discovery Living,IA
ADO,Diversicare Healthcare Services,TN
DVR,Diversified Health Care,LA
DFS,Division Health Services Regltn,NC
DOV,Dove Healthcare,WI
DAJ,Drexel University College Med,PA
DUB,Dubuis Health System Inc,TX
LIP,Duke Lifepoint Healthcare,TN
DUN,Duke University Health System,NC
DYM,Dynamic Healthcare,IL
ETM,East Texas Reg Hlthcare System,TX
ECH,Eastern Connecticut Hlth Netwrk,CT
EAM,Eastern Maine Healthcare System,ME
EAE,Eastern Shore Rural Hlth Sys,VA
EBZ,Ebenezer Society,MN
ECO,Echoing Hills Village Inc,OH
ECU,Ecumen,MN
EDU,Educ & Inst Cooperative Svs Inc,NY
EKS,EKS Management,IL
SOK,Elder Outreach,LA
EWD,Elderwood Administrative Svs,NY
ELM,Elim Care,MN
EJG,Eliza Jennings Senior Care Ntwk,OH
EAD,Elliot Health System,NH
ABK,Ellis Medicine,NY
ELB,Elmbrook Management,OK
EMG,Elmhurst Memorial Health System,IL
EMT,Emeritus A Brookdale Company,WA
EMR,Emerson Hospital Health System,MA
EMH,Emory Healthcare,GA
EVG,Empres Healthcare,WA
EME,Endless Mountain Health Systems,PA
06E,Enlivant,IL
ENS,Ensign Group,CA
EAB,Ephraim Mcdowell Health System,KY
EHF,Episcopal Senior Communities,CA
EPO,Epoch Senior Living Inc,MA
HDS,Equian,IN
ERA,Era Living,WA
ERN,Erlanger Health System,TN
ESK,Eskaton Senior Healthcare Svs,CA
SDC,Essentia Health,MN
ETH,Ethica Health Retirement,GA
EVC,Eva Care Inc,CA
ELG,Evangelical Lutheran Good Sam,SD
WAH,Excela Health,PA
EXC,Exceptional Persons Inc,IA
EAA,Exeter Health,NH
063,Extended Care Management LLC,IL
EXT,Extendicare Health Services Inc,WI
TDR,Extendicare Health Services Inc,WI
FAC,Fairview Health Services,MN
FAI,Faith Regional Health Services,NE
MWK,Faxton St Lukes Healthcare,NY
ACJ,Finger Lakes Health,NY
FAE,First American Enterprises,MN
FIR,First Atlantic Healthcare,ME
04H,FirstChoice Cooperative,TX
FAG,FirstHealth Of The Carolinas,NC
FIV,Five Star Senior Living,MA
FAH,Fletcher Allen Health Care,VT
FLH,Florida Hospital Association,FL
FLY,Floyd Health Care,GA
FOC,Focus On Health,CA
INC,Foresight Management,CA
FAF,Fort Healthcare,WI
04L,Forum Purchasing,GA
FRN,Franciscan Alliance,IN
ACK,Franciscan Missionaries Health,LA
FSA,Franciscan Service Corporation,IL
SBY,Franciscan Sisters Of Dillingen,ND
05D,Franciscan Sistrs Chrstn Chrty,WI
GRL,Franciscan St Elizabeth Health,IN
FRK,Franklin Community Hlth Network,ME
FHS,Freeman Health System,MO
FRE,Freemont Rideout Health Group,CA
FRP,Freeport Health Network,IL
FAA,Fresenius Medical Care,MA
FRC,Friendship Retirement Corp,AZ
ACL,Froedtert Health,WI
FRT,Front Porch Communities And Svs,CA
TRA,Fundamental,MD
FUT,Future Care Health & Management,MD
GAM,Gamble Guest Care Corporation,LA
GEI,Geisinger Health System,PA
GAC,General Health System,LA
GNE,Generations Healthcare,CA
GH1,Genesis Health Care System,OH
GHS,Genesis Health System,IA
GNS,Genesis Healthcare,PA
GSY,Genesys,MI
ODY,Gentiva Health Services,GA
MA3,Georgia Health Sci Health Systm,GA
GEO,Georgia Hospital Association,GA
GER,Gerimed,KY
GIL,Gila River Health Care Corp,AZ
GLL,Gillard Health Care,AL
GOM,Gold Medallion,OK
BEV,Golden Living,AR
GHH,Gonzales Healthcare Systems,TX
GNC,Good Neighbor Care,OR
09Y,Good Shepherd Health System,TX
GOD,Goodman Group,MN
GOX,Goux Enterprises,LA
GCE,Grace Healthcare,TN
GLC,Grace Living Centers NW,OK
GRF,Grace Lutheran Foundation,WI
GRC,Grace Management Inc,MN
LUS,Grace Works Lutheran Services,OH
WEE,Graceworks Enhanced Living,OH
GAI,Grady Health System,GA
GRA,Grane Healthcare,PA
GPH,Great Plains Health Alliance,KS
GAJ,Great River Health Systems,IA
GCC,Greater Cincinnati Hlth Council,OH
GDA,Greater Dayton Area Hosp Assoc,OH
097,Greater Hudson Valley Hlth Sys,NY
GNY,Greater NY Hospital Association,NY
GAH,Greater San Antonio Hlthcr Fdn,TX
GRV,Greenville Hospital System,SC
GRY,Greystone Communities,TX
GRI,Griffin Health Services Corp,CT
GHC,Group Health Cooperative,WA
GEC,Guardian Elder Care,PA
GUD,Guardian Foundation Inc,GA
DLA,Gulf Coast Health Care,FL
AAF,Gundersen Health System,WI
GAB,Guthrie Healthcare System,PA
PAX,Gwinnett Hospital System Inc,GA
HDA,Hacienda Healthcare,AZ
ACM,Hackensack Univsty Hlth Netwrk,NJ
HCS,Halifax Health,FL
HAI,Hallmark Health System,MA
HHC,Hamilton Healthcare System,GA
HRM,Harmony Center Inc,LA
ACN,Harris Health System,TX
HRT,Hartford Healthcare,CT
HHY,Hawaii Health Systems Corp,HI
HAP,Hawaii Pacific Health,HI
HAW,Hawaii State Deptmnt Of Hlth,HI
09Z,Haywood Regional Medical Center,NC
HAZ,Hazelden Foundation,MN
HTX,HCA Inc,TN
HCR,HCR ManorCare,OH
HHM,Health & Home Management,IL
KNH,Health Alliance Of Hudsonvalley,NY
HAA,Health Alliance Of Mid America,KS
06R,Health Care Affiliates,MO
COL,Health Care Corporation,SC
HFI,Health Care Facilities Inc,OH
CYP,Health Care Navigator,NY
HCT,Health Concepts Ltd,RI
04Z,Health Enterprises Cooperative,IA
HAG,Health First Inc,FL
HPS,Health Procurement Services Inc,CA
HLK,Health Services,TN
HES,Health Services Management,TN
HTY,Health System Inc,MO
057,Healthcare Association New York,NY
HLA,Healthcare Association Of HI,HI
HCN,Healthcare Council Natnl Captl,MD
HME,Healthcare Management Group,OH
HCM,Healthcare Management Services,GA
HLT,Healthcare Management Services,CA
HOI,Healthcare Of Iowa,IA
08J,Healthcare Purchasing Alliance,FL
HEC,Healtheast Care System,MN
HEL,Healthmark Group LLC,TX
HAS,Healthpartners,MN
HAC,Healthsouth Corporation,AL
ABU,Healthtech,TN
04Y,Healthtrust Purchasing Group,TN
AHL,Healthways,TN
078,Helia Healthcare,IL
HAN,Hendrick Health System,TX
ABZ,Hennepin Healthcare System,MN
HFH,Henry Ford Health System,MI
HPR,Heritage Enterprises,IL
HRG,Heritage Ministries,NY
HRL,Heritage Valley Health System,PA
HEY,Heyde Health System,WI
HFN,HFN Inc,IL
HCK,Hickory Creek Healthcare Fdn,IN
HIC,Hicks Family Services,ME
STR,Hidden Lake Management LLC,MO
SUR,Highpoint Health System,TN
MEQ,Hill-Rom Company,IN
HLF,Hillcrest Family Services,IA
HAH,Hillcrest Healthcare System,OK
HTO,Hilltop Community Resources,CO
HIT,HIT Inc,ND
MCI,HMC/CAH Consolidated Inc,MO
ACP,Hoag Health Network,CA
HOC,Holiday Retirement Corporation,OR
HLD,Holladay Corporation,DC
HHO,Holland Home,MI
03T,Holy Cross Health,MD
HOL,Holy Redeemer Health Systems,PA
ABL,Holy Spirit Health System,PA
CSH,Holzer Health Systems,OH
HOE,Home Of Hope Inc,OK
HOH,Hope Haven,IA
FAM,Hopewell Health Centers,OH
HCE,Hosp Council Of East Central MI,MI
HOA,Hospice Austin Management,TX
0A7,Hospice Of The Southwest,AZ
HNJ,Hospital Alliance Of New Jersey,NJ
HOP,Hospital Association Of RI,RI
HCD,Hospital Association San Diego,CA
05K,Hospital Association Southrn CA,CA
04I,Hospital Central Services,PA
HCC,Hospital Council N & Central CA,CA
HCO,Hospital Council Of NW Ohio,OH
CCN,Hospital Of Central Connecticut,CT
HPU,Hospital Purchasing Services,MI
HSH,Hospital Sisters Health System,IL
HOU,Houston Healthcare,GA
MHO,Houston Methodist,TX
HOV,Hovnanian Senior Housing Svs,NJ
HAK,Howard University,DC
HSS,HSS Inc,CO
HHH,Hudson Headwater Health Network,NY
HDH,Hunterdon Healthcare System,NJ
0A9,Huntsville Hospital Health Sys,AL
RHM,Hurlbut Care Communities,NY
IAC,IASIS Healthcare Corporation,TN
06L,ICare Management,CT
IDA,Idaho Hospital Association,ID
ILL,Illinois Hospital Association,IL
BED,Image Hlthcre Bedlam Properties,OK
IAA,Indian Health Services,MD
IND,Indiana Hospital Association,IN
ISD,Indiana State Dept Of Health,IN
CAB,Indiana University Health,IN
INP,Individual Development Inc,DC
IAF,Infirmary Health System,AL
ING,Ingalls Health System,IL
INH,Inhance Corporation,IA
INW,Inland Northwest Health Service,WA
GRT,Inmed Group Inc,AL
04U,Innovative Purchasing Concepts,NJ
INN,Innovatix,NY
INV,Inova Health System,VA
SJB,Inspira Health Network,NJ
IHH,Integrated Healthcare Holdings,CA
IAG,Integris Health,OK
09P,Integrity Health Network,MN
INT,Intermountain Healthcare,UT
04S,International Oncology Network,TX
074,Investment Strategy Management,LA
05C,Iowa Department Of Public Hlth,IA
IHS,Iowa Hospital Association,IA
IRQ,Iroquois Healthcare,NY
ABX,Iroquois Healthcare Alliance,NY
ISL,Island Hospital Corporation,WA
ITX,Itex Company,IL
JAH,J & A Healthcare,MI
JPM,J P H Consulting,CA
JHS,Jackson Health System,FL
JAM,Jameson Health System,PA
JMS,Jamestown Management Corp,IL
JDK,JDK Management,PA
JEA,JEA Senior Living,WA
JHR,Jefferson Health System,PA
064,Jeri Care,NJ
SOR,JFK Health Systems,NJ
HPC,JK&L Inc,WA
JAA,John Muir Health System,CA
JHN,Johns Hopkins Health System,MD
JHH,Johnson Memorial Medical Center,CT
AAG,JPS Health Network,TX
JUN,Juniper Communities,NJ
KPF,Kaiser Permanente,CA
KLE,Kaleida Health,NY
NHI,Kalispell Regional Healthcare,MT
MED,Kammco,KS
KAS,Kansas Dept Of Hlth Environment,KS
KAN,Kansas Hospital Association,KS
KAW,Kaweah Delta Healthcare Dist,CA
KBE,KB Enterprises,TX
09E,Keck Medicine Of USC,CA
KEI,Keiro Senior Healthcare,CA
KED,Kendal Corporation,PA
KND,Kennedy Health System,NJ
KNN,Kennon Shea & Associates,CA
KHA,Kentucky Hospital Association,KY
05O,Kentuckyone Health,KY
KES,Kessler Institute Rehab,NJ
KAD,Kettering Health Network,OH
KID,Kidspeace,PA
KIN,Kindred Healthcare,KY
KNG,King Management,IL
KIG,Kingston Healthcare,OH
KSC,Kisco Senior Living,CA
KIS,KishHealth System,IL
KSS,Kissito Health Care,VA
KNO,Knolls West Convalescent,CA
KOI,Koinonia Homes,OH
KUA,Kuakini Health System,HI
LAN,Lahey Health System,MA
TLP,Lake Erie Regional Health Sys,NY
LAJ,Lake Health,OH
LAC,Lakeland Regional Health System,MI
06Y,Lakeview Christian Home Of SW,NM
VIR,Lakewood Manor,VA
AAH,Lancaster General Hlthcare Sys,PA
LNC,Lancaster Health Group,IL
LND,Landmark Management Solutions,MA
LNG,Lange Rest Homes Inc,MA
LRR,Laureate Group,WI
LAR,Laurel Baye Healthcare,SC
LUL,Laurel Health Care Company,OH
LBK,LBK Healthcare,OH
LEE,Lee Memorial Health System,FL
LAA,Legacy Health System,OR
AVC,Legend Healthcare,TX
AAJ,Lehigh Valley Health Network,PA
LEI,Leisure Care,WA
LLI,Leisure Living Management,MI
ABM,Lexington Medical Center,SC
09B,LHP Hospital Group,TX
LHM,Liberty Health Care System,NJ
LIK,Licking Memorial Health System,OH
LCC,Life Care Centers Of America,TN
LFS,Life Care Services,IA
LIE,Life Space Communities,IA
LFH,Lifebridge Health,MD
LMS,Lifecare Family Of Hospitals,TX
07D,LifePoint Hospitals,TN
LFQ,Lifequest,PA
LIF,Lifespan Healthcare Systems,RI
ARZ,Lifestream Complete Senior Lvng,AZ
0AH,Lincoln County Healthcare,ME
LIN,Lincoln Lutheran Racine,WI
LDG,Lindengrove,WI
LIO,Lion Hospice Inc,TX
LSP,Little Sisters Of The Poor,CA
LIV,Living Care Retiremnt Community,WA
LLU,Loma Linda University Health,CA
LIS,Long Island Health Network,NY
LOT,Long Term Centers Of Lexington,MA
LON,Longwood Management Corporation,CA
LOO,Loomis Communities Inc,MA
LOE,Loretto Rest,NY
LAK,Los Angeles County Health Svs,CA
LOS,Louisiana Hospital Association,LA
LSU,Louisiana State University Hlth,LA
045,Lourdes Health Network,WA
LAD,Lourdes Health System,NJ
LOY,Loyola University Health System,IL
LAE,LRG Healthcare,NH
LTC,LTC Accounting Services,OK
LTH,Luther Care Services,IA
LMH,Lutheran Homes,MN
LUO,Lutheran Homes Of Oshkosh,WI
LUR,Lutheran Homes Society,OH
LTE,Lutheran Senior Services,MO
LAS,Lutheran Seniorlife,PA
LSI,Lutheran Social Services Of IL,IL
LUT,Lutheran Social Svs Central OH,OH
MKM,M & K Management,TN
06D,Macintosh Company,OH
MDQ,Mado Management,IL
MAG,Magellan Health,MO
04W,Magnet Group,PA
HOO,Magnolia Health System,IN
MGO,Magnolia Management,MD
OMN,Magnolia Manor Inc,GA
MAL,Main Line Health,PA
0AF,Maine Behavioral Healthcare,ME
MAZ,Maine Health Care Association,ME
MNA,Maine Hospital Association,ME
MGN,Mainegeneral Health,ME
07M,Mainehealth,ME
MLQ,Malik Corporation,MO
MGE,Managed Care,IL
MGD,Managed Health Care Association,NJ
MGR,Management Advisors,KY
05T,Manet Community Health Centers,MA
MA1,Maricopa Integrated Health Sys,AZ
073,Mark One Corporation,CA
MRQ,Marquis Company,OR
MRN,Marrinson Group,FL
099,Marshfield Clinic Health System,WI
MMH,Martin Memorial Health System,FL
MCP,Mary Washington Healthcare,VA
MRY,Maryland Hospital Association,MD
06G,Masonicare,CT
MSA,Massachusettes Hospital Assn,MA
MSR,Mastercare Inc,LA
MTL,Mather Lifeways,IL
MAU,Maury Regional Medical Ctr Mgmt,TN
FSK,Mayo Clin Hlth Syst Frans Hlthc,WI
MAY,Mayo Clinic,MN
SAA,Mayo Health Clinic System Wycrs,GA
06Q,Mc Coy Company,FL
MGM,Mckesson Medical Surgical,VA
01Y,Mckesson Specialty Health,TX
MAD,Mclaren Health Care,MI
MAR,Mcleod Health,SC
04Q,MedAccess Inc,AL
07S,MedAssets Inc,CA
07V,MedAssets Inc,TX
07W,MedAssets Inc,CA
086,MedAssets Inc,MO
089,MedAssets Inc,TN
08A,MedAssets Inc,NJ
08B,MedAssets Inc,MA
08D,MedAssets Inc,TN
08N,MedAssets Inc,MO
SSH,MedAssets Inc,GA
MFA,Medical Facilities America Inc,VA
MUS,Medical University So Carolina,SC
MLG,Medicalodges Inc,KS
MLO,Medilodge Group,MI
MDI,Mediware Information Systems,KS
MDA,Medstar Health,MD
088,Medstar Southern Maryland Hsp,MD
MAC,Memorial Health,GA
MBA,Memorial Health System,OH
MRJ,Memorial Health System,IL
MME,Memorial Healthcare System,FL
MAQ,Memorial Hermann Healthcare Sys,TX
