Code7,Affiliation Code,STATE
027,Baystate Children's Hospital,MA
028,JCL Sonoran Health & Emrgncy Ct,AZ
029,Penn State Children's Hospital,PA
02A,Methodist Womens Hospital,NE
02C,Christus Santa Rosa Hosp Alamo,TX
02D,Specialty Hospital Centrl Jrsy,NJ
02E,Healthsouth Rehab Hosp No VA,VA
02F,Oasis Hospital,AZ
02G,Select Specialty Hosp Pttsbrgh,PA
02H,Hospital For Extended Recovery,VA
02I,Healthsouth Rehab Hosp Tntn Fll,NJ
02J,UVA Transitional Care Hospital,VA
02L,The Rehabilitation Hosp SW VA,VA
02M,Penn State Hershey Rehab Hsptl,PA
02N,Roper St Francis Mt Plsnt Hosp,SC
02O,Good Shepherd Penn Partners,PA
02P,Vibra Hospital Richmond,VA
02Q,Select Specialty Hospital Erie,PA
02S,Kindred Hospital Peoria,IL
02T,Regency Hospital Of Hattiesburg,MS
02U,Promise Hospital The Villages,FL
02V,Advanced Specialty Hospital Tol,OH
02W,Select Spclty Hsptl Plm Bch,FL
02X,Meridian Hlth Svs Gertrc Psych,IN
02Y,Commonwealth Reg Speclty Hosp,KY
02Z,Select Spclty Hsptl Quad Cities,IA
030,OptiMed Hospitalists,NC
031,The Heart Hospital At Baylor,TX
032,College Station Hospital,TX
033,Madison Hospital,AL
034,Queens Medical Center West,HI
035,Baptist Health Extended Cr Hosp,AR
037,Kindred Hospital LV At St Rose,NV
038,Methodist Olive Branch Hospital,MS
039,Kosair Children's Medical Ctr,KY
03A,Acuity Specialty Hospital,OH
03B,Rivercrest Specialty Hospital,IN
03C,Landmark Hospital,MO
03D,Midwest Surgical Hospital,NE
03E,Village Hospital,SC
03F,Select Spclty Hsptl Gainesville,FL
03G,Regency Hospital Columbus,OH
03H,Select Spclty Hsp Milwaukee,WI
03I,Minimally Invsve Srgry Hsptl,KS
03J,Florida Hospital At Connerton,FL
03K,Select Spclty Hsptl Zanesville,OH
03L,Healthsouth Spring Hill,FL
03M,Vibra Hospital Of NW Indiana,IN
03N,Vibra Hospital Springfield,IL
03O,Mount Carmel New Albny Srg Hosp,OH
03P,Behavioral Hlthcr Ctr Clrksvll,TN
03Q,Select Speclty Hsptl Jackson,MS
03R,Kindred Hospital Dayton,OH
03S,Complex Cr Hsptl Ridgelake,FL
03T,Regency Hospital South Atlanta,GA
03U,John C Stennis Mmrl Hosp,MS
03V,Advanced Care Hospital Of MT,MT
03W,Medical Center Elizabeth Place,OH
03X,Summit Surgical,KS
03Y,Sanctuary At The Woodlands,AL
03Z,Iron County Medical Center,MO
040,Louis & Peaches Owen Heart Hosp,TX
041,Kiowa County Memorial Hospital,KS
042,Heart Hospital At Saint Francis,OK
043,Tri Town Regional Health Hosp,NY
044,Integris Heart Hospital,OK
045,St Joseph's Westgate Medical Ct,AZ
047,UF Health Shands Cancer Hosp,FL
048,San Juan VA Medical Center,PR
049,Nemours Childrens Hospital,FL
04A,Physicians Medical Center,IN
04B,Select Spclty Hosp Lexington,KY
04C,Dayton Rehabilitation Institute,OH
04D,Mclaren Northern Michigan Cheby,MI
04E,Greenwood Rgnl Rehab Hosp,SC
04F,Select Specialty Hsptl Tllhssee,FL
04G,Kate Dishman Rehab Hosp,TX
04H,AMG Specialty Hospital Of Houma,LA
04I,Ascension Gonzales Rhb Hsptl,LA
04J,Advanced Care Hospital Whte Cty,AR
04K,Select Rehabilitation Hosp Dent,TX
04L,Reliant Rehabilitation Hospital,TX
04M,Select Specialty Hospital Omaha,NE
04N,Oceans Behavioral Hospital,LA
04O,Oceans Behvrl Hosp Alexandria,LA
04P,Vibra Specialty Hospital Desoto,TX
04Q,Healthbridge Childrens Hospital,TX
04R,Lindsay Municipal Hospital,OK
04S,Forest Park Medical Center,TX
04T,Post Acute Specialty Hosp Hmnd,LA
04U,MMO Rehab & Wellness Ctr,LA
04V,Bethesda Rehabilitation Hosp,LA
04W,Fairway Medical Srgcl Hsptl,LA
04X,Green Clinic Surgical Hospital,LA
04Y,Continuum Rehabilitation Hosp,TX
04Z,Reliant Midcities Rehab Hosp,TX
050,Walton Correctional Institute,FL
051,Baptist Children's Hospital,FL
052,Kaiser Permanente Irvine Med,CA
053,Mayo Children's Center,MN
054,Florida Hospital Pepin Hrt Inst,FL
055,Jackson Rehabilitation Hospital,FL
056,Holtz Children's Hospital,FL
057,The Rehabilitation Hospital,FL
058,Saint Marys Janesville Hospital,WI
059,Garfield Park Hospital,IL
05A,Atrium Medical Center,TX
05B,Mesquite Rehabilitation Inst,TX
05C,Christus Dubuis Hospital Bryan,TX
05D,United Medical Rehab Hosp,LA
05E,Oceans Behavioral Hospital,LA
05F,Mesquite Specialty Hospital,TX
05G,Baylor Orthopedic & Spine Hosp,TX
05H,Orthopedic Hospital,OK
05I,Scott & White Continuing Care,TX
05J,Dubuis Hospital Of Paris,TX
05K,Kindred Hospital Dallas Central,TX
05L,Nebraska Spine Hospital,NE
05M,Southeast Regional Medical Ctr,LA
05N,Doctors Hospital Deer Creek,LA
05O,Red River Behavioral Hospital,LA
05P,Physicians Specialty Hospital,AR
05Q,Integrity Transitional Hospital,TX
05R,Oklahoma Ctr Ortho Multi-Spec,OK
05S,Cypress Pointe Surgical Hsptl,LA
05T,Shore Rehabilitation Institute,NJ
05U,Specialty Rehab Hsptl Coushatta,LA
05V,Harris Methodist Southlake Ctr,TX
05W,Regency Hospital Of Covington,LA
05X,Methodist Hospital For Surgery,TX
05Y,Doctors Diagnostic Hospital,TX
05Z,Kindred Hospital The Heights,TX
060,Mayhill Hospital,TX
061,Chris Evert Children's Hospital,FL
062,Rolling Hills Hospital,TN
063,Cedar Hills Hospital,OR
064,Austin Oaks Hospital,TX
065,Tradition Medical Center,FL
066,Peace Island Medical Center,WA
067,Methodist Richardson Med Ctr,TX
068,Adirondack Medical Center,NY
069,Northeast Georgia Med Ctr,GA
06A,Dubuis Hospital Texarkana South,TX
06B,Dubuis Hospital Corpus Christi,TX
06C,Southwest Idaho Advncd Cr Hosp,ID
06D,Northern Colorado Long Term Act,CO
06E,Advanced Care Hsptl Sthrn NM,NM
06F,Weslaco Rehabilitation Hospital,TX
06G,Blue Mountain Hospital,UT
06H,Kindred Hospital Rancho,CA
06I,The Physicians Centre Hospital,TX
06J,Monrovia Memorial Hospital,CA
06K,Reliant Rehab Hosp Ablne,TX
06L,Select Spclty Hsptl San Antonio,TX
06M,Select Rehab Hosp San Antonio,TX
06N,Mountain Valley Rgnl Rehab Hspt,AZ
06O,Restora Hospital Of Mesa,AZ
06P,Kindred Hospital Riverside,CA
06Q,Victory Medical Ctr Southcross,TX
06R,Healthsouth Desert Cyn Rehab,NV
06S,Northern Colorado Rehab Hosp,CO
06T,Park City Medical Center,UT
06U,First Surgical Hospital,TX
06V,Elkhorn Valley Rehab Hosp,WY
06X,Restora Hospital Of Sun City,AZ
06Y,Niobrara Health & Life Center,WY
06Z,Huntsman Cancer Institute,UT
070,Promise Hospital Baton Rouge,LA
071,Winnie Palmer Hosp Women&Babies,FL
072,Childrens Hospital Of Georgia,GA
073,Palmetto Health Baptist Prkrdg,SC
074,Palmetto Health Heart Hospital,SC
075,Choctaw General Hospital,AL
076,New Orleans East Hospital,LA
077,Palmetto Health Childrens Hosp,SC
079,Henry J Carter Specialty Hsp,NY
07A,Promise Hospital Of Phoenix,AZ
07B,Reliant Rehab Hosp Ctrl TX,TX
07C,Warm Springs Specialty Hospital,TX
07D,Basin Healthcare Center,TX
07E,Loma Linda Univ Med Ctr Murrie,CA
07F,Arizona Orthopedic Srgcl Hosp,AZ
07G,Allegiance Bhvrl Hlth Ctr Plain,TX
07H,Vibra Specialty Hsptl Prtlnd,OR
07I,Select Specialty Hsptl Durham,NC
07J,Behavioral Hlthcr Ctr Columbia,TN
07K,Regency Hospital Of Jackson,MS
07L,St Catherine Memorial Hospital,LA
07M,Prairie Ridge Hosp & Hlth Svs,MN
07N,Rothman Orthopedic Speclty Hosp,PA
07P,Lifecare Hospitals Mechanicsbrg,PA
07Q,OSS Orthopedic Hospital,PA
07R,Unity Medical & Srgcl Hsptl,IN
07S,Intermedical Hospital Of SC,SC
07T,Surgical Institute Of Reading,PA
07U,Landmark Hospital,MO
07V,Mid-Jefferson Extended Cr Hosp,TX
07W,St Catherines W Rehab Hospital,FL
07X,Warm Springs Specialty Hospital,TX
07Z,Select Specialty Hospital,KY
080,McLeod Seacoast,SC
081,Riverside Hospital Of Louisiana,LA
087,Dixon Correctional Center,IL
088,CAMC General,WV
089,Llano Specialty Hospital,TX
08A,Select Speclty Hosp Wstrn MO,MO
08B,Kailo Long Term Accute,LA
08C,Baycare Alliant Hospital,FL
08D,Memorial Hermann Rehab Hosp,TX
08E,AMG Specialty Hospital,IN
08F,Ohio Valley Surgical Hospital,OH
08G,Rehabilitation Hospital Of Jenn,LA
08H,Barrett Hospital And Healthcare,MT
08I,Healthsouth Rehabhsptl Ptrsbrg,VA
08J,Select Specialty Hospital Panma,FL
08K,Vibra Hospital Of Fort Wayne,IN
08L,Select Speclty Hospital Danvill,PA
08M,Amery Regional Medical Center,WI
08N,Advanced Surgical Hospital,PA
08O,Asheville Specialty Hospital,NC
08P,St Elias Specialty Hospital,AK
08Q,Health South Rehabilitation,SC
08R,Oak Tree Hospital,KY
08S,Great Falls Clinic Med Ctr,MT
08T,Physicians Care Surgical Hosp,PA
08U,St John Broken Arrow,OK
08V,Kindred Hospital Havertown,PA
08W,Florida Hospital Wesley Chapel,FL
08Y,Texas Health Center Dgnstcs/Sgy,TX
08Z,Vibra Hosp Mahng Vly Trmbl Cmps,OH
091,Warm Springs Rehab Hosp Kyle,TX
092,Walnut Hill Medical Center,TX
093,Shriners Hospital For Children,TX
094,Lancaster Rehabilitation Hosp,PA
095,Oasis Behavioral Health,AZ
096,Park Royal Hospital,FL
097,Aurora Tempe Hospital,AZ
098,Cornerstone Hospital Of Austin,TX
099,Cornerstone Hospital Of Ok,OK
09A,Lone Peak Hospital,UT
09B,Select Specialty Hospital,OH
09C,Park Place Surgical Hospital,LA
09D,Castle Rock Adventist Hospital,CO
09E,Connecticut DVA,CT
09F,Heritage Park Surgical Hospital,TX
09G,Norman Specialty Hospital,OK
09H,Baylor Surg Hosp Las Colinas,TX
09I,Carson Valley Medical Center,NV
09J,Specialty Hospital Of Winnfield,LA
09K,New Braunfels Reg Rehab Hosp,TX
09L,North Central Surgical Center,TX
09M,Bellin Health Oconto Hospital,WI
09N,Greenbaum Surgical Spclty Hsptl,AZ
09O,Baylor Institute For Rehab,TX
09P,Somerville Hospital,MA
09Q,St Mary & Elizabeth Hospital,KY
09R,Hampton Roads Specialty Hosp,VA
09S,Riverside Doctors Hospital,VA
09T,Summit Pacific Medical Center,WA
09U,UC San Diego Sulpizio Cardvsclr,CA
09V,UC San Diego Moores Cancer Ctr,CA
09W,Victory Medical Center Sn Antno,TX
09X,Victory Medical Center Houston,TX
09Y,Victory Medical Ctr Crg Rnch,TX
09Z,Victory Medical Center Plano,TX
0A0,Victory Medical Center Beaumont,TX
0A1,Victory Surgical Center E Hustn,TX
0A2,Victory Medical Ctr Mid-Cities,TX
0A4,Community Rehabilitation Hospit,IN
0A8,Saint Vincent Fishers Hospital,IN
0AA,Alaska Native Medical Center,AK
0AB,Integris Canadian Valley Hosp,OK
0AD,Alexian Rehabilitation Hospital,IL
0AE,Saint Vincent's Med Ctr Cly Cty,FL
0AF,K Hovnanian Children's Hosp,NJ
0AG,Promedica Wldwd Ortho Spine Hos,OH
0AH,Swedish Medical Center Issaquah,WA
0AI,Advocate Children's Hospital,IL
0AJ,Advocate Children's Hosp-Prk Rg,IL
0AK,Sentara Lorton Marketplace,VA
0AL,Sentara Lake Ridge,VA
0AM,The Unterberg Children's Hosp,NJ
0AN,Children's Hospital Of New Jrsy,NJ
0AO,Geisinger Med Ctr Janet Ws Chld,PA
0AP,The Childrens Hosp St Francis,OK
0AQ,UNM Sandoval Regional Med Ctr,NM
0AS,Emory Orthopaedics & Spine Hsp,FL
0AT,Kindred Hospital Seattle First,WA
0AU,UCSF Benoiff Children's Hosp,CA
0AV,Aspire Hospital,TX
0AW,UT College Of Medicine,TN
0AX,Yuma Rehabilitation Hospital,AZ
0AY,Healthsouth Rehabilitation Hosp,FL
0AZ,Healthsouth East Valley Rhblttn,AZ
0B0,Healthsouth Rehabilitation Hosp,FL
0B1,Regional Rehabilitation Hosp,AL
0B2,Healthsouth Rehabilitation Hosp,PR
0B3,Healthsouth Rehabilitation Hosp,OH
0B4,Healthsouth Rehabilitation Hosp,TX
0B5,Healthsouth Sugar Land Rehab,TX
0B6,Healthsouth Rehabilitation Hosp,CO
0B7,Healthsouth Cane Creek Rehab,TN
0B8,Healthsouth Rehabilitation Hosp,PR
0B9,Healthsouth Rehabilitation Hosp,VA
0BA,Mercy Heart & Vascular Hospital,MO
0BB,Otsego Memorial Hospital,MI
0BC,Mercy Orthopedic Hosp Springfld,MO
0BD,Mercy Children's Hospital St Ls,MO
0BE,Forest Park Medical Center,TX
0BF,Mercy Children's Hosp Springfld,MO
0BG,Mercy Rehabilitation Hosp St Ls,MO
0BH,Continuing Care Hospital,KY
0BI,Continuing Care Hospital,KY
0BJ,The Women's Hospital St Josph E,KY
0BK,Walt Disney Pav Florida Hsp,FL
0BL,Goryeb Children's Hospital,NJ
0BM,Cottage Childrens Santa Barbara,CA
0BN,Lafayette Surgical Spclty Hosp,LA
0BO,Integris Health Edmond Inc,OK
0BP,Mattel Childrens Hospital UCLA,CA
0BQ,Poinciana Medical Center,FL
0BR,Temecula Valley Hospital,CA
1AA,633D Medical Group,VA
3AD,366Th Medical Group,ID
3AF,673 D Medical Group,AK
5AD,Wilford Hall Ambltry Surgcl Ctr,TX
8AB,Wright-Patterson Medical Center,OH
9AA,96Th Medical Group,FL
9AD,Mike O' Callaghan Fed Med Ctr,NV
AA1,Arkansas Valley Reg Med Ctr,CO
AA3,Augusta Health,VA
AA4,All Children's Hospital,FL
AA5,Alegent Creighton Hlth Comm Mem,IA
AA7,Arizona Heart Hospital,AZ
AA8,Allenmore Hospital,WA
AA9,Arnold Palmer Hospital For Chld,FL
AAA,Auburn Community Hospital,NY
AAC,Alliance Community Hospital,OH
AAD,Arnot Ogden Medical Center,NY
AAE,Mercy Hospital Anderson,OH
AAF,Lovelace Medical Center,NM
AAH,Arkansas Heart Hospital,AR
AAI,Adirondack Medical Center,NY
AAJ,Atlantic General Hospital,MD
AAL,Mayo Clinic Hlth Systm Austin,MN
AAM,Anmed Health,SC
AAN,Albany Medical Center,NY
AAT,Ashley Regional Medical Center,UT
AAU,Lewis Gale Hospital Alleghany,VA
AAV,Alta View Hospital,UT
AAW,Alameda Hospital,CA
AAZ,Arrowhead Hospital,AZ
AB1,St Mary's Memorial Campus,NY
AB2,Allegheny Valley Hospital,PA
AB3,Starr Regional Medical Center,TN
AB4,All Saints Hospital,WI
AB7,Anson Community Hospital,NC
ABA,Asante Ashland Community Hosp,OR
ABB,Abraham Lincoln Memorial Hosp,IL
ABC,Arkansas Methodist Medical Ctr,AR
ABE,Abbeville General Hospital,LA
ABG,Adena Regional Medical Center,OH
ABH,John D Archbold Mem Hosp,GA
ABI,Anna Jaques Hospital,MA
ABJ,Arroyo Grande Community Hosp,CA
ABK,Nemours Alfred I Du Pont Hosp,DE
ABL,Abilene Regional Medical Center,TX
ABN,Abington Memorial Hospital,PA
ABP,Aultman Hospital,OH
ABQ,Arrowhead Regional Medical Ctr,CA
ABR,Albany Memorial Hospital,NY
ABS,Appling Health Care System,GA
ABT,Athens Limestone Hospital,AL
ABU,Mayo Clinic Health Sys-Albrt Le,MN
ABV,Abbeville Area Medical Center,SC
ABW,The Aroostook Medical Center,ME
ABX,Ashley County Medical Center,AR
ABZ,Ashley Medical Center,ND
AC1,Androscoggin Valley Hospital,NH
AC2,Antelope Memorial Hospital,NE
AC4,Acadia Hospital,ME
AC6,Athol Hospital,MA
AC7,Angel Medical Center,NC
AC8,Anson General Hospital,TX
AC9,Christus Saint Michael Atlanta,TX
ACA,Andalusia Regional Hospital,AL
ACB,Albany Area Hospital & Med Ctr,MN
ACC,Atlanticare Regional Med Ctr,NJ
ACD,Atmore Community Hospital,AL
ACE,Arkansas Children's Hospital,AR
ACF,Abbott Northwestern Hospital,MN
ACG,Anderson Hospital,IL
ACH,Armstrong Center For Medcn/Hlth,PA
ACI,Atchison Hospital,KS
ACL,Artesia General Hospital,NM
ACM,Ashtabula County Medical Center,OH
ACO,Appleton Area Hlth Svs,MN
ACP,Audrain Medical Center,MO
ACR,Department Of Stt Hosp-Atscdero,CA
ACT,Alice Hyde Medical Center,NY
ACU,Alice Peck Day Memorial Hosp,NH
ACV,Anderson County Hospital,KS
ACX,Catalina Island Medical Center,CA
ACY,Avoyelles Hospital,LA
ACZ,Avera Saint Luke's Hospital,SD
AD1,Atoka County Medical Center,OK
AD2,Avera Weskota Memorial Med Ctr,SD
AD3,CHI Health Schuyler Mem Hosp,NE
AD4,Annie Jeffrey Mem Cty Hlth Ctr,NE
AD5,Acadia-St Landry Hospital,LA
AD6,Assumption Community Hospital,LA
AD7,Moab Regional Hospital,UT
AD8,Arbour Hospital,MA
AD9,Anderson Regional Medical Ctr,MS
ADB,Adcare Hospital,MA
ADC,Austin State Hospital,TX
ADD,Alleghany Memorial Hospital,NC
ADE,Annie Penn Hospital,NC
ADF,Ashe Memorial Hospital,NC
ADG,Allendale County Hospital,SC
ADH,Angleton Danbury Medical Center,TX
ADI,Anchorage Hospital,GA
ADJ,Adams County Regional Med Ctr,OH
ADK,Mercy Allen Hospital,OH
ADL,OSU James Cancer Hospital,OH
ADN,Atlantic Shores Hospital,FL
ADO,Allen Memorial Hospital,IA
ADP,Advocate Trinity Hospital,IL
ADR,Arbuckle Memorial Hospital,OK
ADS,Adams Memorial Hospital,IN
ADT,Saint Agnes Hospital,WI
ADU,Adair County Memorial Hospital,IA
ADV,Alegent Creighton Hlth Mcy Hosp,IA
ADW,Audubon County Memorial Hosp,IA
ADX,Avera Holy Family Hospital,IA
ADY,Inova Fairfax Hospital,VA
AEA,Atlanticare Regional Med Ctr,NJ
AED,Avera Marshall Reg Med Ctr,MN
AEF,Alliance Health Center,MS
AEK,Aurora Lakeland Medical Center,WI
AEP,Norton Audubon Hospital,KY
AEQ,Arizona State Hospital,AZ
AER,Stone County Medical Center,AR
AET,Inova Alexandria Hospital,VA
AEU,Saint Vincent Infirmary Med Ctr,AR
AEW,Austen Riggs Center,MA
AEX,Amesbury Health Center,MA
AEY,Arbour-HRI Hospital,MA
AEZ,Arbour Fuller Hospital,MA
AFA,Aroostook Mental Health Center,ME
AFB,Aroostook Health Center,ME
AFC,Ancora Psychiatric Hospital,NJ
AFD,Allen Hospital,NY
AFE,Arms Acres,NY
AFG,Albany Med Cntr South Clnc Cmps,NY
AFH,Adirondack Correctional Facilty,NY
AFI,Attica Correctional Facility,NY
AFJ,Albion Correctional Facility,NY
AFO,Allied Services Rehabilitation,PA
AFP,Adventist Rehab Hos Of Maryland,MD
AFQ,Kempsville Center Behavrl Hlth,VA
AFR,RJ Blackley Alchohol/Drug Ctr,NC
AFT,Aurora Pavilion,SC
AFU,Atlanta VA Medical Center,GA
AFV,Atlanta Center Medical Research,GA
AFW,South Florida State Hospital,FL
AFX,Alternatives In Treatment,FL
AFY,Alliance Health Care System,MS
AFZ,UK Albert B Chandler Med Ctr,KY
AGC,Appalachian Behavioral Hlthcare,OH
AGD,Allen Oakwood Correctional Ins,OH
AGE,Saint Vincent Anderson Center,IN
AGF,Aleda E Lutz VA Medical Center,MI
AGG,Alegent Health Mercy Hospital,IA
AGH,Samaritan Albany General Hosp,OR
AGJ,Aurora Medical Ctr Washngtn Cty,WI
AGK,Aurora Sinai Medical Center,WI
AGL,Allegheny General Hospital,PA
AGM,Akron General Medical Center,OH
AGN,Aurora Psychiatric Hospital,WI
AGO,Wheaton Francscn Hlthcr-All Sts,WI
AGP,Aurora Medical Center,WI
AGR,Anoka Metro Regional Treatment,MN
AGS,Anthony Louis Center,MN
AGT,Avera St Benedict Health Center,SD
AGU,Avera Gregory Hospital,SD
AGV,Altru Rehabilitation Center,ND
AGW,Anne Carlsen Center,ND
AGY,Alexian Brothers Behaviorl Hlth,IL
AGZ,Alton Mental Health Center,IL
AHA,Andrew Mcfarland Mentl Hlth Ctr,IL
AHB,Anthony Medical Center,KS
AHD,Ashland Health Center,KS
AHE,Louisiana Continuing Care,LA
AHF,Advance Care Hospital,AR
AHG,Arkadelphia Human Developmt Ctr,AR
AHJ,Anaheim Regional Medical Center,CA
AHK,Arkansas Department Of Corrctns,AR
AHL,Arkansas State Hospital,AR
AHM,The Physicians Hospital Anadrko,OK
AHN,Audie L Murphy Memorial VA Hosp,TX
AHO,Austin State Supported Lvng Ctr,TX
AHQ,The Surgical Hospital Of Phoenx,AZ
AHR,Alhambra Treatment Center,AZ
AHT,Arizona State Prison Complex,AZ
AHV,Acoma-Canoncito-Laguna Hospital,NM
AHX,New Mexico VA Healthcare System,NM
AHY,Aurora Charter Oak Hospital,CA
AHZ,American Recovery Center,CA
AIA,Alvarado Prkwy Inst Behvrl Hlth,CA
AIB,Alexian Brothers Medical Center,IL
AIC,Advocate Illinois Masnc Med Ctr,IL
AID,Aurora Behavrl Healthcr Sn Dgo,CA
AIF,Alta Bates Summit Medical Ctr,CA
AIH,Azure Acres Recovery Center,CA
AII,Alaska Psych Inst AK Recvry Ctr,AK
AIJ,Arise Austin Medical Center,TX
AIK,Aiken Regional Medical Centers,SC
AIL,Advance Care Hospital,AR
AIN,Aurora Baycare Medical Center,WI
AIO,Aurora Medical Center -Oshkosh,WI
AIP,Odessa Regional Medical Center,TX
AIQ,St Luke's Cornwall Hospital,NY
AIR,Mid Hudson Reg Hosp Westchester,NY
AIS,Saint Lawrence Psychiatric Ctr,NY
AIT,Sisters Of Charity Hosp St Jsph,NY
AIU,Texas Health Arlington Mem Hosp,TX
AIW,Southport Correctional Facility,NY
AIX,Saint Josephs Hospital,NY
AIZ,Southwood Psychiatric Hospital,PA
AJA,SCI Laurel Highlands,PA
AJB,Select Specialty Laurel Hghlnds,PA
AJD,Select Specialty Hosp Johnstwn,PA
AJG,State Correctional Inst Rockvw,PA
AJH,State Correctional Inst Cmp Hll,PA
AJM,St Luke's Hospital,PA
AJO,Forensic Treatment Cnt Waymart,PA
AJP,Saint Joseph Hospital,PA
AJQ,Shriners Hospital,PA
AJT,Select Specialty Hospital,DE
AJU,Dover Behavioral Health,DE
AJV,Sussex Correctional Institution,DE
AJW,Stockley Center,DE
AJX,Providence Hospital Seton House,DC
AJY,Saint Luke Institute,MD
AJZ,Sheppard Pratt Ellicott City,MD
AKA,Snowden At Fredericksburg,VA
AKB,Sheltering Arms Rehabilitation,VA
AKC,St Mary's Home,VA
AKD,Southwestern Virginia Mntl Hlth,VA
AKE,Southern Virginia Mental Health,VA
AKF,St Joseph's Hospital Of Bckhnon,WV
AKG,Select Specialty Hosp Wnstn Slm,NC
AKI,Carolinas Med Ctr Rndlph Behvrl,NC
AKJ,St Joseph Of The Pns Hlth Cntr,NC
AKK,Medwest Health Swain Cty Hosp,NC
AKM,Spartanburg Hospital Restrtv Cr,SC
AKN,Shriners Hospitals For Children,SC
AKO,Summa Akron City Hospital,OH
AKP,St Francis Eastside,SC
AKQ,Springbrook Behavioral Hlth Sys,SC
AKR,Summit Ridge Hospital,GA
AKS,Kindred Hospital Of Rome,GA
AKT,Select Specialty Hospital,GA
AKV,Appleton Medical Center,WI
AKW,Select Specialty Hospital,GA
AKX,Select Specialty Hospital,GA
AKY,Saint Joseph's Hospital,GA
AKZ,UF Health Jacksonville,FL
ALA,Alamance Regional Medical Ctr,NC
ALB,Sentara Albemarle Medical Ctr,NC
ALE,Allegan General Hospital,MI
ALF,Einstein Medical Center Phldlph,PA
ALH,Alhambra Hospital Medical Ctr,CA
ALI,Alpena Regional Medical Center,MI
ALK,Alaska Regional Hospital,AK
ALL,UF Health Shands Rehab Hosp,FL
ALM,Shands Psychiatric Hospital,FL
ALN,Select Specialty Hosp-Orlndo N,FL
ALO,South Florida Evaluatn/Treatmt,FL
ALP,St Anthony's Rehab Hospital,FL
ALQ,Sandy Pines,FL
ALR,Altru Hospital,ND
ALS,Shriners Hospitals For Children,FL
ALT,UPMC Altoona,PA
ALU,Select Specialty Hospital,AL
ALV,Alvarado Hospital Medical Ctr,CA
ALW,Surgery Center Of Huntsville,AL
AMC,Anne Arundel Medical Center,MD
AMD,Select Specialty Hospital Tri,TN
AMF,American Fork Hospital,UT
AMG,Tennova La Follette Medical Ctr,TN
AMH,Alton Memorial Hospital,IL
AMI,Select Specialty Hospital,TN
AMJ,Select Specialty North Knoxvlle,TN
AMK,Select Specialty Hospital Memph,TN
AML,Atlanta Medical Center,GA
AMO,South Mississippi Correctional,MS
AMP,Select Specialty Hosp Glf Cst,MS
AMR,Acadia General Hospital,LA
AMS,Shriners Hospitals For Children,KY
AMT,Saint Joseph Hospital,KY
AMV,St Elizabeth Healthcare Edgewd,KY
AMW,Saint Elizbth Flmth Chem Dndcy,KY
AMX,St Elizabeth Hlthcare Ft Thomas,KY
AMY,Shepherd Hill,OH
ANA,Select Specialty Hospital,OH
ANC,Specialty Hospital Of Lorain,OH
AND,Select Specialty Hospital,OH
